property,Density,Visc.,EC,HC,ST,TC
Density,1.0,0.08614454337834515,0.1350637880292945,-0.07347378231524573,,-0.22662337662337662
Visc.,0.08614454337834515,1.0,0.16621094550005688,0.03371947317242127,,-0.2689064558629776
EC,0.1350637880292945,0.16621094550005688,1.0,0.06432159087026344,,
HC,-0.07347378231524573,0.03371947317242127,0.06432159087026344,1.0,,-0.07223264540337711
ST,,,,,1.0,
TC,-0.22662337662337662,-0.2689064558629776,,-0.07223264540337711,,1.0
