figure,panel,panel_title,measure,value,unit,property,bin_index,bin_left,bin_right,bin_center
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,18.0,labels,ElectricalConductivity,1.0,200.0,208.3783783783784,204.1891891891892
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,21.0,labels,ElectricalConductivity,2.0,208.3783783783784,216.75675675675677,212.56756756756758
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,25.0,labels,ElectricalConductivity,3.0,216.75675675675677,225.13513513513513,220.94594594594594
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,28.0,labels,ElectricalConductivity,4.0,225.13513513513513,233.51351351351352,229.32432432432432
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,35.0,labels,ElectricalConductivity,5.0,233.51351351351352,241.8918918918919,237.7027027027027
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,55.0,labels,ElectricalConductivity,6.0,241.8918918918919,250.27027027027026,246.0810810810811
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,78.0,labels,ElectricalConductivity,7.0,250.27027027027026,258.64864864864865,254.45945945945945
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,147.0,labels,ElectricalConductivity,8.0,258.64864864864865,267.02702702702703,262.8378378378378
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,266.0,labels,ElectricalConductivity,9.0,267.02702702702703,275.4054054054054,271.21621621621625
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,595.0,labels,ElectricalConductivity,10.0,275.4054054054054,283.7837837837838,279.5945945945946
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,578.0,labels,ElectricalConductivity,11.0,283.7837837837838,292.1621621621622,287.972972972973
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1966.0,labels,ElectricalConductivity,12.0,292.1621621621622,300.5405405405405,296.35135135135135
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,2058.0,labels,ElectricalConductivity,13.0,300.5405405405405,308.91891891891896,304.72972972972974
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1528.0,labels,ElectricalConductivity,14.0,308.91891891891896,317.2972972972973,313.1081081081081
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1941.0,labels,ElectricalConductivity,15.0,317.2972972972973,325.6756756756757,321.48648648648646
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1672.0,labels,ElectricalConductivity,16.0,325.6756756756757,334.05405405405406,329.8648648648649
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,992.0,labels,ElectricalConductivity,17.0,334.05405405405406,342.43243243243245,338.2432432432432
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1204.0,labels,ElectricalConductivity,18.0,342.43243243243245,350.81081081081084,346.62162162162167
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,753.0,labels,ElectricalConductivity,19.0,350.81081081081084,359.18918918918916,355.0
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,352.0,labels,ElectricalConductivity,20.0,359.18918918918916,367.5675675675676,363.3783783783784
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,296.0,labels,ElectricalConductivity,21.0,367.5675675675676,375.94594594594594,371.7567567567568
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,172.0,labels,ElectricalConductivity,22.0,375.94594594594594,384.3243243243243,380.1351351351351
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,136.0,labels,ElectricalConductivity,23.0,384.3243243243243,392.7027027027027,388.51351351351354
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,150.0,labels,ElectricalConductivity,24.0,392.7027027027027,401.0810810810811,396.8918918918919
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,120.0,labels,ElectricalConductivity,25.0,401.0810810810811,409.4594594594595,405.2702702702703
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,91.0,labels,ElectricalConductivity,26.0,409.4594594594595,417.83783783783787,413.64864864864865
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,108.0,labels,ElectricalConductivity,27.0,417.83783783783787,426.21621621621625,422.0270270270271
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,85.0,labels,ElectricalConductivity,28.0,426.21621621621625,434.5945945945946,430.4054054054054
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,73.0,labels,ElectricalConductivity,29.0,434.5945945945946,442.972972972973,438.7837837837838
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,78.0,labels,ElectricalConductivity,30.0,442.972972972973,451.35135135135135,447.1621621621622
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,78.0,labels,ElectricalConductivity,31.0,451.35135135135135,459.72972972972974,455.5405405405405
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,61.0,labels,ElectricalConductivity,32.0,459.72972972972974,468.1081081081081,463.91891891891896
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,18.0,labels,ElectricalConductivity,33.0,468.1081081081081,476.4864864864865,472.2972972972973
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,6.0,labels,ElectricalConductivity,34.0,476.4864864864865,484.8648648648649,480.67567567567573
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1.0,labels,ElectricalConductivity,35.0,484.8648648648649,493.2432432432433,489.05405405405406
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,4.0,labels,ElectricalConductivity,36.0,493.2432432432433,501.62162162162167,497.4324324324325
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,4.0,labels,ElectricalConductivity,37.0,501.62162162162167,510.0,505.81081081081084
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,69.0,labels,HeatCapacity,1.0,200.0,208.3783783783784,204.1891891891892
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,74.0,labels,HeatCapacity,2.0,208.3783783783784,216.75675675675677,212.56756756756758
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,86.0,labels,HeatCapacity,3.0,216.75675675675677,225.13513513513513,220.94594594594594
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,91.0,labels,HeatCapacity,4.0,225.13513513513513,233.51351351351352,229.32432432432432
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,94.0,labels,HeatCapacity,5.0,233.51351351351352,241.8918918918919,237.7027027027027
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,108.0,labels,HeatCapacity,6.0,241.8918918918919,250.27027027027026,246.0810810810811
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,127.0,labels,HeatCapacity,7.0,250.27027027027026,258.64864864864865,254.45945945945945
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,146.0,labels,HeatCapacity,8.0,258.64864864864865,267.02702702702703,262.8378378378378
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,250.0,labels,HeatCapacity,9.0,267.02702702702703,275.4054054054054,271.21621621621625
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,481.0,labels,HeatCapacity,10.0,275.4054054054054,283.7837837837838,279.5945945945946
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,498.0,labels,HeatCapacity,11.0,283.7837837837838,292.1621621621622,287.972972972973
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1831.0,labels,HeatCapacity,12.0,292.1621621621622,300.5405405405405,296.35135135135135
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1910.0,labels,HeatCapacity,13.0,300.5405405405405,308.91891891891896,304.72972972972974
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1633.0,labels,HeatCapacity,14.0,308.91891891891896,317.2972972972973,313.1081081081081
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1944.0,labels,HeatCapacity,15.0,317.2972972972973,325.6756756756757,321.48648648648646
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1634.0,labels,HeatCapacity,16.0,325.6756756756757,334.05405405405406,329.8648648648649
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1158.0,labels,HeatCapacity,17.0,334.05405405405406,342.43243243243245,338.2432432432432
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1322.0,labels,HeatCapacity,18.0,342.43243243243245,350.81081081081084,346.62162162162167
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,963.0,labels,HeatCapacity,19.0,350.81081081081084,359.18918918918916,355.0
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,542.0,labels,HeatCapacity,20.0,359.18918918918916,367.5675675675676,363.3783783783784
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,437.0,labels,HeatCapacity,21.0,367.5675675675676,375.94594594594594,371.7567567567568
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,283.0,labels,HeatCapacity,22.0,375.94594594594594,384.3243243243243,380.1351351351351
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,236.0,labels,HeatCapacity,23.0,384.3243243243243,392.7027027027027,388.51351351351354
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,270.0,labels,HeatCapacity,24.0,392.7027027027027,401.0810810810811,396.8918918918919
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,207.0,labels,HeatCapacity,25.0,401.0810810810811,409.4594594594595,405.2702702702703
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,161.0,labels,HeatCapacity,26.0,409.4594594594595,417.83783783783787,413.64864864864865
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,134.0,labels,HeatCapacity,27.0,417.83783783783787,426.21621621621625,422.0270270270271
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,89.0,labels,HeatCapacity,28.0,426.21621621621625,434.5945945945946,430.4054054054054
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,65.0,labels,HeatCapacity,29.0,434.5945945945946,442.972972972973,438.7837837837838
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,73.0,labels,HeatCapacity,30.0,442.972972972973,451.35135135135135,447.1621621621622
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,75.0,labels,HeatCapacity,31.0,451.35135135135135,459.72972972972974,455.5405405405405
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,61.0,labels,HeatCapacity,32.0,459.72972972972974,468.1081081081081,463.91891891891896
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,62.0,labels,HeatCapacity,33.0,468.1081081081081,476.4864864864865,472.2972972972973
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,58.0,labels,HeatCapacity,34.0,476.4864864864865,484.8648648648649,480.67567567567573
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,59.0,labels,HeatCapacity,35.0,484.8648648648649,493.2432432432433,489.05405405405406
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,56.0,labels,HeatCapacity,36.0,493.2432432432433,501.62162162162167,497.4324324324325
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,59.0,labels,HeatCapacity,37.0,501.62162162162167,510.0,505.81081081081084
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,SurfaceTension,1.0,200.0,208.3783783783784,204.1891891891892
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,SurfaceTension,2.0,208.3783783783784,216.75675675675677,212.56756756756758
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,SurfaceTension,3.0,216.75675675675677,225.13513513513513,220.94594594594594
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,SurfaceTension,4.0,225.13513513513513,233.51351351351352,229.32432432432432
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,SurfaceTension,5.0,233.51351351351352,241.8918918918919,237.7027027027027
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,SurfaceTension,6.0,241.8918918918919,250.27027027027026,246.0810810810811
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,SurfaceTension,7.0,250.27027027027026,258.64864864864865,254.45945945945945
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,10.0,labels,SurfaceTension,8.0,258.64864864864865,267.02702702702703,262.8378378378378
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,59.0,labels,SurfaceTension,9.0,267.02702702702703,275.4054054054054,271.21621621621625
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,339.0,labels,SurfaceTension,10.0,275.4054054054054,283.7837837837838,279.5945945945946
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,507.0,labels,SurfaceTension,11.0,283.7837837837838,292.1621621621622,287.972972972973
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,2066.0,labels,SurfaceTension,12.0,292.1621621621622,300.5405405405405,296.35135135135135
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,2089.0,labels,SurfaceTension,13.0,300.5405405405405,308.91891891891896,304.72972972972974
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1520.0,labels,SurfaceTension,14.0,308.91891891891896,317.2972972972973,313.1081081081081
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,2070.0,labels,SurfaceTension,15.0,317.2972972972973,325.6756756756757,321.48648648648646
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1827.0,labels,SurfaceTension,16.0,325.6756756756757,334.05405405405406,329.8648648648649
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,983.0,labels,SurfaceTension,17.0,334.05405405405406,342.43243243243245,338.2432432432432
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1220.0,labels,SurfaceTension,18.0,342.43243243243245,350.81081081081084,346.62162162162167
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,866.0,labels,SurfaceTension,19.0,350.81081081081084,359.18918918918916,355.0
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,351.0,labels,SurfaceTension,20.0,359.18918918918916,367.5675675675676,363.3783783783784
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,231.0,labels,SurfaceTension,21.0,367.5675675675676,375.94594594594594,371.7567567567568
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,123.0,labels,SurfaceTension,22.0,375.94594594594594,384.3243243243243,380.1351351351351
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,100.0,labels,SurfaceTension,23.0,384.3243243243243,392.7027027027027,388.51351351351354
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,51.0,labels,SurfaceTension,24.0,392.7027027027027,401.0810810810811,396.8918918918919
