figure,panel,panel_title,measure,value,unit,property,bin_index,bin_left,bin_right,bin_center
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,17.0,labels,SurfaceTension,25.0,401.0810810810811,409.4594594594595,405.2702702702703
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,33.0,labels,SurfaceTension,26.0,409.4594594594595,417.83783783783787,413.64864864864865
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,14.0,labels,SurfaceTension,27.0,417.83783783783787,426.21621621621625,422.0270270270271
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,27.0,labels,SurfaceTension,28.0,426.21621621621625,434.5945945945946,430.4054054054054
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,4.0,labels,SurfaceTension,29.0,434.5945945945946,442.972972972973,438.7837837837838
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,10.0,labels,SurfaceTension,30.0,442.972972972973,451.35135135135135,447.1621621621622
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,28.0,labels,SurfaceTension,31.0,451.35135135135135,459.72972972972974,455.5405405405405
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,8.0,labels,SurfaceTension,32.0,459.72972972972974,468.1081081081081,463.91891891891896
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,29.0,labels,SurfaceTension,33.0,468.1081081081081,476.4864864864865,472.2972972972973
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,SurfaceTension,34.0,476.4864864864865,484.8648648648649,480.67567567567573
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,6.0,labels,SurfaceTension,35.0,484.8648648648649,493.2432432432433,489.05405405405406
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,2.0,labels,SurfaceTension,36.0,493.2432432432433,501.62162162162167,497.4324324324325
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,SurfaceTension,37.0,501.62162162162167,510.0,505.81081081081084
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,ThermalConductivity,1.0,200.0,208.3783783783784,204.1891891891892
