sample_id,IL_Name,IL_SMILES,Temperature_K,Pressure_kPa,Cation_Family,Anion_Family,PC1,PC2,display_family
22,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,197.95,101.325,Imidazolium,Hydrogen sulfate,-0.341540577522352,-1.4440355360673898,Imidazolium
23,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,199.29,101.325,Imidazolium,Hydrogen sulfate,-0.34093909802010397,-1.4409494024639735,Imidazolium
24,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,202.71,101.325,Imidazolium,Hydrogen sulfate,-0.33935567901972025,-1.4328250315301212,Imidazolium
25,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,204.64,101.325,Imidazolium,Hydrogen sulfate,-0.3384319745732703,-1.4280855926611995,Imidazolium
26,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,208.5,101.325,Imidazolium,Hydrogen sulfate,-0.3365213720546356,-1.418282474494259,Imidazolium
27,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,216.24,101.325,Imidazolium,Hydrogen sulfate,-0.3324575235379734,-1.3974312577535555,Imidazolium
28,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,218.18,101.325,Imidazolium,Hydrogen sulfate,-0.33139565465803494,-1.3919829104357302,Imidazolium
29,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,219.06,101.325,Imidazolium,Hydrogen sulfate,-0.3309091856723994,-1.389486884755755,Imidazolium
30,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,220.11,101.325,Imidazolium,Hydrogen sulfate,-0.3303248153299024,-1.3864885366090944,Imidazolium
31,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,222.41,101.325,Imidazolium,Hydrogen sulfate,-0.3290305796974125,-1.379847937783636,Imidazolium
32,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,230.03,101.325,Imidazolium,Hydrogen sulfate,-0.32463337079248056,-1.3572862808825579,Imidazolium
33,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,230.0,101.325,Imidazolium,Hydrogen sulfate,-0.3246507382995914,-1.3573753918948237,Imidazolium
34,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,231.26,101.325,Imidazolium,Hydrogen sulfate,-0.3239108399786878,-1.3535790446166245,Imidazolium
35,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,236.02,101.325,Imidazolium,Hydrogen sulfate,-0.3210924018690012,-1.3391179091549112,Imidazolium
36,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,239.54,101.325,Imidazolium,Hydrogen sulfate,-0.3189899277323405,-1.3283303161293614,Imidazolium
37,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,253.31,101.325,Imidazolium,Hydrogen sulfate,-0.31068515160982724,-1.2857193068352035,Imidazolium
38,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,255.96,101.325,Imidazolium,Hydrogen sulfate,-0.3090737054369735,-1.2774511311691117,Imidazolium
39,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,256.92,101.325,Imidazolium,Hydrogen sulfate,-0.3084884797593724,-1.2744483943801164,Imidazolium
40,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,258.1,101.325,Imidazolium,Hydrogen sulfate,1.445139895489219,-0.1812695015764696,Imidazolium
41,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,263.15,101.325,Imidazolium,Hydrogen sulfate,1.7589922977640222,-0.21887882681791299,Imidazolium
42,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,264.66,101.325,Imidazolium,Hydrogen sulfate,-0.3037152035996609,-1.2499571724850826,Imidazolium
43,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,268.1,101.325,Imidazolium,Hydrogen sulfate,0.990859095571938,-0.1337989191415404,Imidazolium
44,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,269.58,101.325,Imidazolium,Hydrogen sulfate,-0.30059400266751096,-1.233942590036769,Imidazolium
45,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,270.0,101.325,Imidazolium,Hydrogen sulfate,-0.3003225724875869,-1.2325499078321154,Imidazolium
46,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,271.45,101.325,Imidazolium,Hydrogen sulfate,-0.29937707971147215,-1.2276986751346595,Imidazolium
47,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,278.15,100.0,Imidazolium,Hydrogen sulfate,-0.2543349195488917,-0.0798927356480182,Imidazolium
48,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,280.39,101.325,Imidazolium,Hydrogen sulfate,-0.2931454463588829,-1.19572476243819,Imidazolium
49,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,289.97,101.325,Imidazolium,Hydrogen sulfate,-0.2851669317798935,-1.1547877698132751,Imidazolium
50,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,290.0,100.0,Imidazolium,Hydrogen sulfate,-0.28513734495101906,-1.154635962633701,Imidazolium
51,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,290.65,101.325,Imidazolium,Hydrogen sulfate,-0.23244071479179157,-0.0733824549811501,Imidazolium
52,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,292.8,101.325,Imidazolium,Hydrogen sulfate,-0.22835287242006394,-0.07216692779223804,Imidazolium
53,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,293.156,96.0,Imidazolium,Hydrogen sulfate,-0.22767277976950642,-0.071964701034805,Imidazolium
54,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,293.16,101.325,Imidazolium,Hydrogen sulfate,1.0566070271206591,-4.806738187750137,Imidazolium
55,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,293.1,101.325,Imidazolium,Hydrogen sulfate,0.12225491654672303,-0.04303314983927525,Imidazolium
56,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,293.23,101.325,Imidazolium,Hydrogen sulfate,0.47749617727066346,-0.05731775286662827,Imidazolium
57,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,293.85,101.325,Imidazolium,Hydrogen sulfate,-0.28145430292363394,-1.1357386274443464,Imidazolium
58,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,294.79,101.325,Imidazolium,Hydrogen sulfate,-0.28051793682856424,-1.1309342228714663,Imidazolium
59,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,295.0,100.0,Imidazolium,Hydrogen sulfate,-0.28030482016725106,-1.129840741734589,Imidazolium
60,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,295.9,101.325,Imidazolium,Hydrogen sulfate,-0.2793972737577562,-1.1251842082026338,Imidazolium
