property,abs_log_error,positive_prediction
Density,0.0015263082749346069,True
Density,0.002407893884514678,True
Density,0.003770788809042358,True
Density,0.0026854075280970946,True
Density,0.004417839501234866,True
Density,0.000416163427359173,True
Density,0.0026774103616515887,True
Density,0.0023183370803074865,True
Density,0.006433117483950923,True
Density,0.006422532997909514,True
Density,0.007448063109826819,True
Density,0.0004721255256194823,True
Density,0.0007976966093350413,True
Density,0.005052547068641999,True
Density,0.002751266598327362,True
Density,0.00410605044725898,True
Density,0.004265768558640026,True
Density,0.004659556243579388,True
Density,0.0049552789232381045,True
Density,0.0026340149983141714,True
Density,0.0017243753851268195,True
Density,0.002692210719666299,True
Density,0.0007342826358547327,True
Density,0.005808323533416093,True
Density,0.007175477862918278,True
Density,0.0008030517352839439,True
Density,0.002486664494559143,True
Density,0.002354138386468918,True
Density,0.004051631267875777,True
Density,0.0007872564562063644,True
Density,0.007382350706526708,True
Density,0.0004106525626479396,True
Density,0.0016576367741780729,True
Density,0.0012000800960256797,True
Density,0.002578328458354484,True
Density,0.00939954951919475,True
Density,0.0011916029972107722,True
Density,0.0015635504745956652,True
Density,0.0006508335893284922,True
Density,0.010032209308342033,True
Density,0.002281711234822126,True
Density,0.006311485633069047,True
Density,0.0001765961273303418,True
Density,0.0035901183153335126,True
Density,0.0007014386687353991,True
Density,0.005159491124889115,True
Density,0.002612734224922697,True
Density,0.0011267129031962142,True
Density,0.001888284714435251,True
Density,0.0019016650315046846,True
Density,0.003740720357608751,True
Density,0.0010242271389167001,True
Density,0.0007391822264564141,True
Density,0.0021886229884762187,True
Density,0.006705150946197058,True
Density,1.6204778920503315e-05,True
Density,0.004680218941827796,True
Density,0.00222206532969782,True
Density,0.006354786099933563,True
Density,0.0028590972345208243,True
Density,0.00010831224547303009,True
Density,0.002648344768170219,True
Density,0.0011658071995395147,True
Density,0.0016459286744909818,True
Density,0.0007844496721656213,True
Density,0.0009540747323271148,True
Density,0.0008234771316475431,True
Density,0.0001639682110115004,True
Density,0.0010656763242629097,True
Density,0.0016913845447046327,True
Density,0.0004015042468061836,True
Density,0.00470628786874272,True
Density,0.04275275642991705,True
Density,0.017830811830558346,True
Density,0.0030727436294615273,True
Density,0.004844188775630975,True
Density,0.007220450711284521,True
Density,0.0012017059499340732,True
Density,0.0006848936696259855,True
Density,0.006084498220442214,True
Density,0.004361179342430077,True
Density,0.007726280763353799,True
Density,0.008792827756677113,True
Density,0.005004888819851061,True
Density,0.0006662591087112091,True
Density,0.010450802316651853,True
Density,0.0035858882447818985,True
Density,0.005342891259768834,True
Density,0.006059750033636568,True
Density,0.003148599766256588,True
Density,0.004089782123453567,True
Density,0.007620804653607038,True
Density,0.0001931477366152734,True
Density,0.0021581210895096348,True
Density,0.0022553378872727237,True
Density,0.0021499821060473323,True
Density,0.0025787294914580983,True
Density,0.0028062794804171176,True
Density,0.0008701778521151837,True
Density,0.021391569528990573,True
Density,0.001088563768356643,True
Density,0.0022387800688754567,True
Density,0.0039821331751630495,True
Density,0.005333451673520173,True
Density,0.006907441492365329,True
Density,0.0037927280632601423,True
Density,0.0017146425088956363,True
Density,0.0031590652226043403,True
Density,0.0026975143181111605,True
Density,0.01143169301523006,True
Density,0.0012504011806768744,True
Density,0.0027045528509619388,True
Density,0.00020748874780629478,True
Density,0.0025362657104901487,True
Density,0.0003013985810591535,True
Density,0.0008225150322633823,True
Density,0.014067212108250793,True
Density,0.0036687058681454943,True
Density,0.0008440621955010386,True
Density,0.003016186284233058,True
Density,0.004487573098368003,True
Density,0.002822443016956555,True
Density,0.004477494221309719,True
Density,0.0005811874643857351,True
Density,0.0023399417832603575,True
Density,0.0025172589938788903,True
Density,0.0039243360427354546,True
