split_type,split_label,variant,variant_label,macro_log_R2,weighted_log_R2,macro_NMAE_mean,weighted_NMAE_mean,focus_weak_macro_log_R2
random_point,Random point,base,Base,0.9684162636597952,0.9773212140423588,0.1703887669617403,0.2061286107606429,0.9638236363728842
random_point,Random point,finetune_weak,Fine-tuned,0.9772104918956757,0.9825535463201086,0.18507621980881891,0.24073924464164936,0.9733938972155253
il_pair,IL-pair,base,Base,0.7619446814060211,0.8484318603547848,0.16247741458990836,0.16568861801317752,0.7223317623138428
il_pair,IL-pair,finetune_weak,Fine-tuned,0.7597350776195526,0.8399865497056026,0.1559491781765919,0.15683953056071118,0.7027622063954672
cation_family,Cation-family,base,Base,0.2693868080774943,0.41817038421195823,0.37592089400422807,0.33658943175759937,0.20685412486394247
cation_family,Cation-family,finetune_weak,Fine-tuned,0.24478543798128763,0.4380063962018753,0.46219552674706404,0.43295272427340004,0.02629786729812622
anion_family,Anion-family,base,Base,-35.78013161818186,-5.164467074346674,2.944269800895142,0.8432060450764656,0.5850354433059692
anion_family,Anion-family,finetune_weak,Fine-tuned,0.534350723028183,0.5462730241651862,0.29216746490531004,0.4173193534942061,0.5189932982126871
