split_type,split_label,variant,variant_label,macro_log_R2,weighted_log_R2,macro_NMAE_mean,weighted_NMAE_mean,focus_weak_macro_log_R2,visualization_note
random_point,Random point,base,Base,0.9684162636597952,0.9773212140423588,0.1703887669617403,0.2061286107606429,0.9638236363728842,
random_point,Random point,finetune_weak,Fine-tuned,0.9772104918956755,0.9825535463201086,0.1850762198088189,0.2407392446416493,0.9733938972155252,
il_pair,IL-pair,base,Base,0.7619446814060211,0.8484318603547848,0.1624774145899083,0.1656886180131775,0.7223317623138428,
il_pair,IL-pair,finetune_weak,Fine-tuned,0.7597350776195526,0.8399865497056026,0.1559491781765919,0.1568395305607111,0.7027622063954672,
cation_family,Cation-family,base,Base,0.2693868080774943,0.4181703842119582,0.375920894004228,0.3365894317575993,0.2068541248639424,
cation_family,Cation-family,finetune_weak,Fine-tuned,0.2447854379812876,0.4380063962018753,0.462195526747064,0.4329527242734,0.0262978672981262,
anion_family,Anion-family,base,Base,,-5.164467074346674,2.944269800895142,0.8432060450764656,0.5850354433059692,masked_outlier: anion_family/base/macro_log_R2
anion_family,Anion-family,finetune_weak,Fine-tuned,0.534350723028183,0.5462730241651862,0.29216746490531,0.4173193534942061,0.5189932982126871,
