split,rows,unique_il_smiles,unique_cations,unique_anions,cation_families,anion_families,Density_labels,ElectricalConductivity_labels,HeatCapacity_labels,SurfaceTension_labels,ThermalConductivity_labels,Viscosity_labels
train,29773,823,252,125,benzimidazolium|cholinium|imidazolium|pyridinium,amino_acid|carbonate|carboxylate|cyanamide_cyanocarbon|fluoroborate|fluorophosphate|halide|halometalate|heterocyclic|nitrate|other_anion|perchlorate|phosphate_phosphinate|sulfate_sulfonate|tfsamide,12415,4002,9055,4598,629,9436
val,2428,120,37,62,phosphonium,amino_acid|carboxylate|cyanamide_cyanocarbon|fluoroborate|fluorophosphate|halide|heterocyclic|other_anion|phosphate_phosphinate|sulfate_sulfonate|tfsamide,1348,395,310,278,153,1100
test,5355,182,82,57,ammonium,amino_acid|carboxylate|cyanamide_cyanocarbon|fluoroborate|fluorophosphate|halide|nitrate|phosphate_phosphinate|sulfate_sulfonate|tfsamide,4111,610,495,278,52,1469
