split,rows,unique_il_smiles,unique_cations,unique_anions,cation_families,anion_families,Density_labels,ElectricalConductivity_labels,HeatCapacity_labels,SurfaceTension_labels,ThermalConductivity_labels,Viscosity_labels
train,26769,788,293,146,ammonium|benzimidazolium|cholinium|imidazolium|phosphonium|pyridinium,amino_acid|carbonate|carboxylate|cyanamide_cyanocarbon|fluoroborate|fluorophosphate|halide|halometalate|heterocyclic|nitrate|other_anion|perchlorate|phosphate_phosphinate|sulfate_sulfonate|tfsamide,12437,3409,7438,3662,597,8228
val,4785,167,105,65,ammonium|benzimidazolium|imidazolium|phosphonium|pyridinium,amino_acid|carbonate|carboxylate|cyanamide_cyanocarbon|fluoroborate|fluorophosphate|halide|heterocyclic|nitrate|other_anion|phosphate_phosphinate|sulfate_sulfonate|tfsamide,2480,601,1059,431,85,1872
test,6002,170,108,58,ammonium|imidazolium|phosphonium|pyridinium,amino_acid|carbonate|carboxylate|cyanamide_cyanocarbon|fluoroborate|fluorophosphate|halide|heterocyclic|nitrate|phosphate_phosphinate|sulfate_sulfonate|tfsamide,2957,997,1363,1061,152,1905
