priority_order,candidate_id,qualification_role,cation_smiles,anion_smiles,AD_status,Pareto_rank,conductivity_worst,viscosity_worst,volumetric_heat_capacity_worst,thermal_diffusivity_worst,selection_criterion,selection_criterion_value,balanced_distance,transport_distance,thermal_management_distance,cross_protocol_eligible,cross_protocol_rank_change,extrapolative_property_flag,qualification_measurement_priority
1,UPR-0343,balanced lead,CN1C=[N+](C=C1)C,CCC(=O)[O-],in_domain,1,0.1414703279733657,0.0042465236037969,2105731.049482962,8.503565184527813e-08,balanced_distance,0.5703449789018937,0.5703449789018937,0.7071067811865476,0.3880551377281367,False,,False,qualification measurement target
2,UPR-0024,transport-focused lead,CC[N+](C)(C)CCOC,N#C[B-](C#N)(C#N)C#N,borderline,1,0.8047230839729309,0.0314063802361488,2204373.742057524,6.298233710326331e-08,transport_distance,0.3486524461817884,0.5797818241492805,0.3486524461817884,0.7421154889902175,False,,False,qualification measurement target
3,UPR-0343,thermal-management lead,CN1C=[N+](C=C1)C,CCC(=O)[O-],in_domain,1,0.1414703279733657,0.0042465236037969,2105731.049482962,8.503565184527813e-08,thermal_management_distance,0.3880551377281367,0.5703449789018937,0.7071067811865476,0.3880551377281367,False,,False,qualification measurement target
4,UPR-0558,cross-protocol robust lead,CCC[n+]1ccn(C)c1,O=C([O-])C(F)(F)F,in_domain,1,0.3106776475906372,0.0637454614043235,2226125.0850864043,6.734710547032936e-08,cross_protocol_rank_change,6.0,0.7665722560949191,0.8795140603378291,0.6338146931848251,True,6.0,False,qualification measurement target
