candidate_id,temperature_K,internal_thermal_conduction_resistance_K_per_W,convective_thermal_resistance_K_per_W,thermal_resistance_K_per_W,thermal_resistance_conduction_fraction,thermal_resistance_convection_fraction,electrolyte_resistance_ohm,transient_temperature_rise_K
UPR-0024,298.15,0.0585956128771779,5.0,5.058595612877178,0.0115833755772089,0.9884166244227912,0.0124266349495404,0.2502874407808255
UPR-0024,303.15,0.0595541148498937,5.0,5.0595541148498935,0.0117706251377174,0.9882293748622828,0.0103226822655685,0.2079412920825883
UPR-0024,308.15,0.0604998375464867,5.0,5.060499837546487,0.0119553086629124,0.9880446913370876,0.0087239387579792,0.1757544072694977
UPR-0024,313.15,0.0614168206231492,5.0,5.061416820623149,0.0121343139282466,0.9878656860717534,0.0074817169206636,0.1507378808307304
UPR-0024,318.15,0.0622935998763575,5.0,5.062293599876358,0.0123054103139886,0.9876945896860112,0.0065000930620642,0.1309634296184342
UPR-0024,323.15,0.063124763489772,5.0,5.063124763489772,0.0124675504630984,0.9875324495369016,0.0057148338376483,0.1151398782313762
UPR-0024,328.15,0.0639087241122908,5.0,5.063908724112291,0.0126204336598689,0.987379566340131,0.0050807984028019,0.1023598142947796
UPR-0024,333.15,0.0646440883420586,5.0,5.0646440883420585,0.0127637968659749,0.9872362031340252,0.0045646937496415,0.0919538021348183
UPR-0024,338.15,0.0653282319794069,5.0,5.065328231979407,0.0128971369647803,0.9871028630352195,0.0041411159212194,0.0834108461742914
UPR-0024,343.15,0.0659584237684727,5.0,5.065958423768473,0.0130199299423794,0.9869800700576205,0.0037903853731008,0.0763349800413129
UPR-0024,348.15,0.0665334890401298,5.0,5.06653348904013,0.0131319548531662,0.9868680451468338,0.0034971715319185,0.0704177243967994
UPR-0024,353.15,0.0670542885145779,5.0,5.067054288514578,0.0132333866377885,0.9867666133622114,0.0032495180114763,0.0654185251939236
UPR-0209,298.15,0.0568825335032859,5.0,5.056882533503286,0.0112485376368588,0.9887514623631412,0.0285624619820428,0.5757532224702505
UPR-0209,303.15,0.0570857337435818,5.0,5.057085733743582,0.0112882669484274,0.9887117330515725,0.0225365162556819,0.4542887732483511
UPR-0209,308.15,0.0572979042836437,5.0,5.057297904283644,0.0113297467082394,0.9886702532917606,0.0182341342685366,0.367565323371756
UPR-0209,313.15,0.0575212359038015,5.0,5.057521235903802,0.0113734047215566,0.9886265952784432,0.0150657363033503,0.3036996807987634
UPR-0209,318.15,0.0577568664144806,5.0,5.057756866414481,0.0114194628053414,0.9885805371946584,0.0126667130736885,0.255342923165079
UPR-0209,323.15,0.0580044004917708,5.0,5.058004400491771,0.0114678430264179,0.988532156973582,0.0108049629156962,0.2178168422158255
UPR-0209,328.15,0.0582621118832063,5.0,5.058262111883207,0.011518207359467,0.9884817926405328,0.0093299495253837,0.1880871822971545
UPR-0209,333.15,0.0585278143516188,5.0,5.058527814351619,0.0115701280094909,0.988429871990509,0.0081427633184422,0.1641601673631581
UPR-0209,338.15,0.0587994956703527,5.0,5.058799495670352,0.0116232113410854,0.9883767886589148,0.0071766301781263,0.1446896526172323
UPR-0209,343.15,0.0590750734445611,5.0,5.0590750734445615,0.0116770501696348,0.9883229498303652,0.0063839772263477,0.1287164728418741
UPR-0209,348.15,0.0593520864101762,5.0,5.059352086410176,0.011731163476367,0.988268836523633,0.0057289217186065,0.1155171037618275
