split_strategy,log_MAE,log_RMSE,log_R2,log_NMAE,panel,panel_title
Random point,0.0514942007139325,0.1535615567117929,0.9739825030167898,0.0640354130995952,G,Generalization across split protocols
Random IL,0.1717125782743096,0.2902530195812384,0.8179805179437002,0.2212371469707675,G,Generalization across split protocols
Balanced IL,0.2142991255968809,0.3565104858328898,0.8443253636360168,0.2475636713708668,G,Generalization across split protocols
Ion-family,0.2274726449201504,0.3643554039299488,0.6460454960664114,0.3152777363240568,G,Generalization across split protocols
