property,Temperature_K,temperature_bin,abs_log_error
Density,303.15,300-320,0.01020286580667662
Density,313.398,300-320,6.443504381881127e-05
Density,288.15,280-300,0.001924034790125262
Density,330.41,320-360,0.002168196263932387
Density,453.15,>360,0.0005108214452427262
Density,347.15,320-360,0.002992630654527595
Density,293.15,280-300,0.0005169579488004672
Density,333.15,320-360,0.0011025014312489034
Density,332.16,320-360,0.00024608315083973764
Density,323.15,320-360,0.0002565034623209783
Density,338.15,320-360,0.002855247915072745
Density,323.15,320-360,0.0020262035779454735
Density,316.15,300-320,0.004270554195638709
Density,341.15,320-360,0.003030407400851587
Density,365.15,>360,0.0029310652768543832
Density,338.15,320-360,0.0020174725722572617
Density,353.11,320-360,0.0027647471909482135
Density,333.15,320-360,0.0025639450371688355
Density,278.15,<280,0.0049991455273570296
Density,313.15,300-320,0.008892626624659172
Density,333.15,320-360,0.003940117955148814
Density,313.15,300-320,0.0008001043619501047
Density,358.0,320-360,0.0006761714984708789
Density,313.0,300-320,0.00014452530833608535
Density,348.15,320-360,0.043689259804787106
Density,343.15,320-360,0.000393924929908529
Density,353.0,320-360,0.004001124125243116
Density,338.15,320-360,0.0005821380208583804
Density,279.15,<280,0.0033039595308537173
Density,318.15,300-320,0.001147740397079211
Density,329.15,320-360,0.002737493708734995
Density,333.0,320-360,0.005173190909929737
Density,323.15,320-360,0.008759361188496406
Density,318.15,300-320,0.00844573912401092
Density,298.15,280-300,0.0010978279656397305
Density,322.9,320-360,0.002448111199763403
Density,343.15,320-360,0.003995894271666245
Density,279.4,<280,0.0006356078925842112
Density,356.15,320-360,0.00028138683066458725
Density,293.15,280-300,0.011611410020906376
Density,283.15,280-300,0.0023130835086293544
Density,293.15,280-300,0.026135928814300158
Density,308.15,300-320,0.001863460902248093
Density,324.65,320-360,0.0016989736245074383
Density,289.15,280-300,0.0009536480954670523
Density,318.15,300-320,0.012819303828944584
Density,313.15,300-320,0.005374867516794168
Density,353.15,320-360,0.009171594022851615
Density,363.15,>360,0.006159409506190983
Density,321.66,320-360,0.0021609355596297064
Density,323.15,320-360,0.0057191624630945626
Density,333.5,320-360,0.005636310815456014
Density,298.15,280-300,0.0007604885388321492
Density,318.15,300-320,0.005711527230990221
Density,303.15,300-320,0.01151696852582873
Density,333.37,320-360,0.00540644330383433
Density,298.15,280-300,0.0075798357200707045
Density,308.15,300-320,0.0005717128297311191
Density,318.15,300-320,0.007558391740867698
Density,305.65,300-320,0.000619434371220251
Density,297.15,280-300,0.0006838111036131522
Density,298.15,280-300,0.4091244029575014
Density,310.15,300-320,0.0015058430056109628
Density,368.1,>360,0.0005947724902641838
Density,287.65,280-300,2.5804887906488716e-05
Density,308.15,300-320,0.0015221068838497942
Density,295.15,280-300,0.0018801537721673256
Density,318.29,300-320,0.006975552420881215
Density,298.15,280-300,0.0024761393326864223
Density,303.0,300-320,0.00496585630863855
Density,313.15,300-320,0.0024251409105682242
Density,288.15,280-300,0.004941400053604994
Density,318.15,300-320,0.013188337057129296
Density,284.9,280-300,0.00020588984497926788
Density,338.15,320-360,0.003917285068962606
Density,353.15,320-360,0.0025806022067733636
Density,288.15,280-300,0.004435957168303695
Density,319.15,300-320,0.002985061794211319
Density,293.15,280-300,0.0006602723326150084
Density,293.15,280-300,0.007758574905880167
Density,333.15,320-360,0.00203561595369095
Density,293.15,280-300,0.009658721251477154
Density,304.15,300-320,0.0020093483793512945
Density,283.15,280-300,0.0025810320234151973
Density,311.16,300-320,0.0005035083815849717
Density,323.15,320-360,0.008230678848235584
Density,328.0,320-360,0.003608208862607931
Density,328.15,320-360,0.0012259102394853727
Density,348.089,320-360,0.005561730453347735
Density,298.15,280-300,0.11586142394893262
Density,363.2,>360,0.000848690516041195
Density,318.15,300-320,0.0014800158410412934
Density,303.0,300-320,0.007241301495008123
Density,293.15,280-300,0.0012742299107415533
Density,345.15,320-360,0.004013522080361653
Density,323.15,320-360,0.006482581579325242
Density,303.2,300-320,0.00149670774576105
Density,293.0,280-300,0.004483276931138924
Density,293.15,280-300,0.000780113058796772
Density,303.15,300-320,0.0033256258383298487
Density,293.15,280-300,0.002780904603969958
Density,302.15,300-320,0.0066237079364084295
Density,312.15,300-320,0.0023761299750280074
Density,328.1,320-360,0.0006055132352074111
Density,343.15,320-360,0.0013466711787728514
Density,328.17,320-360,0.000752415302578413
Density,333.15,320-360,0.0038819928848150553
Density,363.15,>360,0.005959094917329821
Density,348.15,320-360,0.0025467320383523173
Density,343.15,320-360,0.0006280348269029901
Density,308.15,300-320,0.002283624469066936
Density,298.1,280-300,0.005326628008247347
Density,283.36,280-300,0.002023281422761869
Density,353.15,320-360,0.00026319790046436253
Density,359.15,320-360,0.003839519892165022
Density,308.15,300-320,0.002902961789819969
Density,324.15,320-360,0.0031676484573601726
Density,303.15,300-320,0.005118269506101392
Density,308.15,300-320,0.00035805083181728037
Density,343.15,320-360,0.009558652251396182
Density,355.15,320-360,0.003689686173560247
Density,298.15,280-300,0.004926643642990669
Density,320.65,320-360,0.0031596247119836107
Density,348.15,320-360,0.0002832218030128786
Density,358.15,320-360,0.002783758015151072
Density,283.15,280-300,0.0016923200821494788
Density,353.15,320-360,0.011364951591333217
Density,340.15,320-360,0.0012192871850400522
Density,298.1,280-300,0.004270028030505912
Density,334.66,320-360,0.0014251618130423083
Density,353.15,320-360,0.0013551983851671778
Density,313.15,300-320,0.015065120075662186
Density,348.15,320-360,0.0006675502435600222
Density,307.65,300-320,0.001608827819630676
Density,283.3,280-300,0.0030942213454068224
Density,323.15,320-360,0.0016904447793049115
Density,323.3,320-360,0.001374739355738619
Density,308.15,300-320,0.007645561057365136
Density,317.9,300-320,0.002546781398464759
Density,313.15,300-320,0.00821222846369718
Density,373.15,>360,0.0018335803180766774
Density,308.15,300-320,0.00886860241437848
Density,323.15,320-360,0.011302922142697014
Density,312.982,300-320,0.005112251907162246
Density,323.15,320-360,0.0077099821434361004
Density,303.15,300-320,0.002695987832325386
Density,303.15,300-320,0.008956461592751097
Density,293.15,280-300,0.002661810641375162
Density,312.41,300-320,0.0005698780719640695
Density,313.15,300-320,0.0014509304422549718
Density,338.15,320-360,0.0018200362727984754
Density,313.15,300-320,0.00430260518618919
Density,368.15,>360,0.0024800331893635175
Density,278.15,<280,0.00636279949950147
Density,283.15,280-300,0.0029511796103820487
Density,330.15,320-360,0.0014605934266329612
Density,323.15,320-360,0.0007948308627900857
Density,278.15,<280,0.005353918533474555
Density,298.23,280-300,0.0006580066807257978
Density,288.15,280-300,0.0012245197103313288
Density,303.15,300-320,0.0060557152873990105
Density,328.9,320-360,0.0016303193695748064
Density,313.0,300-320,0.0036344792599463105
Density,318.15,300-320,0.0014529598404617872
Density,303.05,300-320,0.001963037401365497
Density,363.0,>360,0.0012049668613212106
Density,338.15,320-360,0.0004277708356079657
Density,313.15,300-320,0.001993147585293009
Density,293.15,280-300,0.0032206688801474925
Density,307.4,300-320,0.0016813163084812288
Density,298.15,280-300,0.008921205893154038
Density,338.15,320-360,0.00010068370311078212
Density,293.15,280-300,0.0056482204762273724
Density,303.15,300-320,0.05846514594111163
Density,328.15,320-360,0.0012197777449474145
Density,333.15,320-360,0.0010003658644111013
Density,353.0,320-360,0.008154961028483676
Density,303.15,300-320,0.0037770207561900193
Density,298.65,280-300,0.0020898861686280412
Density,298.14,280-300,0.005130258581476532
Density,288.15,280-300,0.0010184859829802662
Density,308.15,300-320,0.0028308283315023886
Density,323.15,320-360,0.004360180010642978
Density,327.4,320-360,0.0016694867348023834
Density,322.15,320-360,0.0016751425647703044
Density,338.15,320-360,0.001438565082599652
Density,299.45,280-300,0.006674375910796115
Density,333.15,320-360,0.0034946763395273805
Density,328.15,320-360,0.0013551478477467072
Density,329.15,320-360,0.0003490931471574754
Density,281.9,280-300,0.0005188491204206613
Density,373.0,>360,0.03087093189255441
Density,333.0,320-360,0.011674453099935533
Density,283.0,280-300,0.003846178370819686
Density,313.15,300-320,0.005568523637123235
Density,308.15,300-320,0.0012193069482808738
Density,313.15,300-320,0.01305116618499369
Density,333.15,320-360,0.002484285336356251
Density,303.15,300-320,0.0017881279267726313
Density,300.15,300-320,0.004028821983332875
Density,348.141,320-360,0.0009618116682652555
Density,289.15,280-300,0.0031681360963382588
Density,317.15,300-320,0.002286784886632809
Density,343.15,320-360,0.004105619915684144
Density,338.15,320-360,0.007359158714702829
Density,333.15,320-360,0.000930712550188062
Density,312.15,300-320,0.0015720045177376463
Density,323.15,320-360,0.0032263034412238767
Density,333.15,320-360,0.0004587988296158585
Density,288.15,280-300,0.0007105140991754411
Density,358.15,320-360,0.0032277458822775884
Density,303.15,300-320,0.0011649171163581329
Density,337.15,320-360,0.004359205149404133
Density,328.15,320-360,0.0034307606607804075
Density,318.15,300-320,0.003972099655658923
Density,303.19,300-320,0.0047955364562106695
Density,363.15,>360,0.002531964685734245
Density,323.15,320-360,0.006297681576797665
Density,298.15,280-300,0.005167989520234784
Density,323.15,320-360,0.014585458121857187
Density,355.15,320-360,0.0008511301249347625
Density,293.15,280-300,0.009005099262917149
Density,298.15,280-300,0.0076632458058671915
Density,328.15,320-360,0.004532321518577298
Density,288.15,280-300,0.00010341266184976661
Density,308.15,300-320,0.001541184808069751
Density,313.15,300-320,0.00022456031982720503
Density,298.15,280-300,0.0001572973041810144
Density,312.94,300-320,0.0032371755214661846
Density,288.15,280-300,0.0008460277764745783
Density,354.15,320-360,0.0026449978440750144
Density,343.05,320-360,0.009970232653499167
Density,353.0,320-360,0.0004243597452742165
Density,333.3,320-360,9.579471417353602e-05
Density,333.15,320-360,0.001882194216292099
Density,293.15,280-300,0.00026757091910489805
Density,313.15,300-320,0.003287268991305936
Density,313.15,300-320,3.961868648794109e-05
Density,343.15,320-360,0.0003467140498631949
Density,323.15,320-360,0.0035485743442640327
Density,313.15,300-320,0.0027297641586505605
Density,353.15,320-360,0.00016891285755793461
Density,333.15,320-360,0.000532703471968432
Density,330.15,320-360,0.0032877766265109187
Density,295.15,280-300,0.005313316135173274
Density,298.2,280-300,0.0054601890612211434
Density,288.15,280-300,0.004962879038451717
Density,348.15,320-360,0.00020840777208519512
Density,353.02,320-360,0.003596778310238413
Density,293.2,280-300,0.0007280679700008008
Density,308.15,300-320,0.0012440878232284902
Density,284.15,280-300,0.00028269372604317056
Density,360.15,>360,0.0003681073388239753
Density,308.15,300-320,0.000473901232021845
Density,343.14,320-360,0.003926915608492898
Density,313.15,300-320,0.006536982486461618
Density,343.15,320-360,0.01108838229272191
Density,353.15,320-360,0.00046682226854155573
Density,353.0,320-360,0.00644977738674779
Density,337.59,320-360,0.00439445611992717
Density,332.73,320-360,0.005630981382060085
Density,353.15,320-360,0.012384500872522075
Density,327.15,320-360,0.0033921755540955445
Density,303.15,300-320,0.0018710648869264546
Density,323.15,320-360,0.0009361028636476476
Density,293.15,280-300,0.008340825049076628
Density,313.15,300-320,0.003233414424700598
Density,303.15,300-320,0.003274381964757822
Density,313.15,300-320,0.0006202620298072503
Density,317.15,300-320,0.005310906195817644
Density,298.1,280-300,0.030229167024802273
Density,348.15,320-360,0.0019798494623355367
Density,298.0,280-300,0.13219408666472
Density,298.15,280-300,0.002920070297578903
Density,305.9,300-320,0.001761939395483303
Density,343.88,320-360,0.0002554311427038769
Density,322.91,320-360,0.0010241935855272999
Density,288.15,280-300,0.004969039862706026
Density,273.3,<280,0.002342655544789629
Density,343.34,320-360,0.00088256227475636
Density,353.15,320-360,0.0020799308795345084
Density,333.15,320-360,0.007812518893224762
Density,298.15,280-300,0.0019478095855314237
Density,342.15,320-360,0.0005244906278303318
Density,305.15,300-320,0.0027027621699282633
Density,338.1,320-360,0.003725557379502753
Density,308.15,300-320,0.0027507715425239
Density,343.14,320-360,0.000986082766313956
Density,283.15,280-300,0.0008711996664247934
Density,300.15,300-320,0.002099476994427363
Density,368.15,>360,0.0041260704068530885
Density,278.15,<280,0.001410916157632336
Density,334.15,320-360,0.0007815561277366712
Density,335.65,320-360,0.0019011384212994642
Density,318.15,300-320,0.0019498372894268812
Density,363.15,>360,0.002482003406249156
Density,293.15,280-300,0.004283483237289332
Density,284.9,280-300,9.348923783569774e-05
Density,291.9,280-300,0.0016526829840808333
Density,308.15,300-320,0.017403428333005344
Density,293.2,280-300,0.0005202060605231651
Density,331.15,320-360,0.0011611014340031645
Density,313.15,300-320,0.004388767190871334
Density,363.15,>360,0.0012526485632831097
Density,323.15,320-360,0.009584752250614947
Density,343.15,320-360,0.0027899689189556653
Density,353.15,320-360,0.0028624578081606344
Density,302.4,300-320,0.0010313783833932888
Density,283.15,280-300,0.000453991408089216
Density,338.0,320-360,0.0024633892168832716
Density,333.91,320-360,0.0018290391335042955
Density,348.1,320-360,0.004139346566479851
Density,303.15,300-320,0.008758398355656283
Density,282.15,280-300,0.003750428267932371
Density,353.14,320-360,0.0011934955494989907
Density,363.15,>360,0.004002528939629713
Density,333.22,320-360,0.002058102588690325
Density,308.2,300-320,0.007480170802289798
Density,308.15,300-320,0.0016327210217879085
Density,308.15,300-320,0.0013289840585102297
Density,323.15,320-360,0.003929148386227155
Density,353.15,320-360,0.0033059683390170846
Density,363.17,>360,0.002622675205195435
Density,308.15,300-320,0.004717324813330315
Density,298.1,280-300,0.002465884785785022
Density,283.15,280-300,0.001355694255027018
Density,344.15,320-360,0.0009189502616759881
Density,322.98,320-360,0.003623493913301523
Density,343.116,320-360,0.005507096340219952
Density,279.65,<280,0.00031315811945820116
Density,303.15,300-320,0.002755550486935654
Density,288.65,280-300,0.0032550275018063957
Density,313.15,300-320,0.003473749284058414
Density,293.15,280-300,0.003392773636654134
Density,295.15,280-300,0.00193746178331633
Density,293.15,280-300,0.008803764205883802
Density,300.16,300-320,0.0016827542237543014
Density,298.15,280-300,0.003703221845809068
Density,309.15,300-320,1.2412687621754515e-05
Density,328.15,320-360,0.0012783460199159435
Density,293.15,280-300,0.01879506736806036
Density,293.18,280-300,0.0005335265463344285
Density,288.15,280-300,0.0004200797204081397
Density,293.15,280-300,1.5359019264415963e-05
Density,308.9,300-320,0.0023012114409413087
Density,314.15,300-320,1.6774335782621108e-05
Density,293.15,280-300,0.0018286954569273206
Density,293.15,280-300,0.00020408305918628855
Density,313.2,300-320,0.006524084952785891
Density,323.15,320-360,0.0021234257131554912
Density,293.15,280-300,0.0003866772018330522
Density,293.1,280-300,0.034651226023736825
Density,313.15,300-320,0.004983223011781668
Density,301.2,300-320,0.0011644673391817406
Density,323.15,320-360,0.0045504065244932335
Density,303.15,300-320,0.013269511868394979
Density,303.9,300-320,0.0014128802771073978
Density,333.0,320-360,0.0010338750563443355
Density,313.15,300-320,0.0007672696547249558
Density,323.15,320-360,0.0001553733322889883
Density,298.15,280-300,0.0005627113867632261
Density,289.15,280-300,0.004534670353618431
Density,353.15,320-360,0.0030609253918134627
Density,324.0,320-360,0.00496490204930744
Density,353.15,320-360,0.002746029283492213
Density,293.15,280-300,0.008610427409037946
Density,338.15,320-360,0.004155232399802422
Density,353.15,320-360,0.006244711550703386
Density,287.15,280-300,0.001305156693311993
Density,323.15,320-360,0.0049342435777184335
Density,294.9,280-300,0.0006599650047593997
Density,293.15,280-300,0.0006064340314075878
Density,286.4,280-300,2.2536037608489323e-05
Density,358.15,320-360,0.0009249700840161523
Density,307.4,300-320,0.0003491066554346389
Density,305.15,300-320,0.0021342464764932956
Density,346.15,320-360,0.0010619319156059959
Density,334.66,320-360,0.0011821639199514067
Density,303.15,300-320,6.018587512901519e-05
Density,303.15,300-320,0.0034083833540421438
Density,378.15,>360,0.0021725028787376033
Density,338.15,320-360,0.002233995123625654
Density,278.15,<280,0.001746238069918249
Density,338.39,320-360,0.0019841625588457035
Density,273.15,<280,0.001826704105694965
Density,323.15,320-360,0.009165261897756238
Density,298.0,280-300,0.0034461521267665773
Density,307.1,300-320,0.00495490865037862
Density,293.16,280-300,0.00012880239336166
Density,293.15,280-300,0.00022324660958528142
Density,300.9,300-320,0.0004106066790487972
Density,318.15,300-320,0.01618379116711477
Density,357.15,320-360,0.001695593350113711
Density,298.0,280-300,0.004421135662082243
Density,315.15,300-320,0.001543991625866603
Density,333.15,320-360,0.0032391868368621957
Density,298.15,280-300,0.0007515230481320856
Density,325.15,320-360,0.0006669681656470416
Density,318.15,300-320,0.003134698567882843
Density,473.15,>360,0.00091795613700274
Density,319.41,300-320,0.0008673675856449847
Density,333.15,320-360,0.0025767219516792395
Density,308.15,300-320,0.0010943217000241034
Density,309.65,300-320,0.001487288385560781
Density,333.15,320-360,0.004757424453243786
Density,330.65,320-360,0.003237653926609241
Density,328.15,320-360,0.0007677204733749221
Density,317.8,300-320,0.0025959942242463896
Density,298.15,280-300,0.0013795039833670586
Density,298.15,280-300,0.0014510047575608809
Density,293.19,280-300,0.003355567790086944
Density,278.15,<280,0.008395261568280077
Density,318.41,300-320,0.000728667665803151
Density,368.15,>360,0.00010578572356045868
Density,303.9,300-320,0.0019086646169323984
Density,308.15,300-320,0.0029130468623526085
Density,283.15,280-300,0.004516604290375703
Density,306.65,300-320,0.0010085394652801227
Density,295.4,280-300,0.0006031579715237712
Density,293.15,280-300,0.0013475304967824897
Density,298.0,280-300,0.05598269308427373
Density,318.15,300-320,0.005143540759787513
Density,283.15,280-300,0.001109158409946076
Density,298.18,280-300,0.004248590182447387
Density,323.0,320-360,0.0011991398000761322
Density,342.15,320-360,0.007193899312482266
Density,343.15,320-360,0.00567626718110148
Density,338.15,320-360,0.0011768039533297525
Density,303.15,300-320,0.0009989148883962073
Density,298.66,280-300,0.005283423219681005
Density,318.15,300-320,0.0005702974439625308
Density,305.148,300-320,0.00026839609288042965
Density,312.95,300-320,0.0013409459175424132
Density,325.15,320-360,0.001832886789654431
Density,293.09,280-300,0.004913816536832982
Density,323.35,320-360,0.0006193811349266554
Density,303.15,300-320,0.0006561054202451899
Density,313.15,300-320,0.001053712541385643
Density,278.15,<280,0.0028438339413048297
Density,353.15,320-360,0.003914909908760755
Density,323.15,320-360,0.0023136931931349025
Density,304.75,300-320,0.006734380520462047
Density,293.0,280-300,0.0017342444030932214
Density,314.15,300-320,0.0005832292092886604
Density,323.15,320-360,0.0033238868553615575
Density,336.15,320-360,0.0023402358495037134
Density,286.15,280-300,9.767494958978773e-05
Density,343.15,320-360,0.005653392371126387
Density,298.15,280-300,0.0005650973512318913
Density,303.15,300-320,0.0003147556073370694
Density,303.15,300-320,6.018587512901519e-05
Density,338.15,320-360,0.005689624549808592
Density,279.65,<280,0.003939595808401641
Density,318.15,300-320,0.0029057953770603717
Density,285.4,280-300,0.0035065809401597647
Density,323.15,320-360,0.0010217964336112217
Density,293.15,280-300,0.0012883771853173798
Density,333.15,320-360,0.0026607316549229765
Density,298.1,280-300,0.0005235657726609944
Density,328.0,320-360,0.004684920242891799
Density,349.15,320-360,0.0015820332278391191
Density,291.0,280-300,0.00015964683400593316
Density,313.15,300-320,0.0028267966812540735
Density,308.15,300-320,0.0034061954170514497
Density,298.15,280-300,0.0009137311920177638
Density,323.15,320-360,0.005200825543542287
Density,348.0,320-360,0.0010028200855254354
Density,318.15,300-320,0.003585879680936266
Density,293.0,280-300,0.00048159423017679615
Density,290.395,280-300,0.00040447170656499054
Density,363.15,>360,0.009652752551653876
Density,353.0,320-360,0.0010919365114139268
Density,303.0,300-320,0.007364210878586519
Density,338.15,320-360,0.01831043251123976
Density,329.15,320-360,0.003915748925670037
Density,328.15,320-360,0.005232453481140986
Density,327.9,320-360,0.006754706193849103
Density,292.97,280-300,0.0020323513051927478
Density,332.9,320-360,0.00484755585461194
Density,327.0,320-360,0.004963038589482771
Density,308.15,300-320,0.00048348720496083075
Density,288.15,280-300,0.00040855292818964273
Density,293.15,280-300,0.0002946934399661316
Density,313.15,300-320,0.003350709536928953
Density,303.15,300-320,0.0035128344521861976
Density,307.05,300-320,0.004063977340710068
Density,363.15,>360,0.008220139995008147
Density,353.15,320-360,0.0014386204612097941
Density,363.15,>360,0.003599976998612142
Density,293.15,280-300,0.002196444785726115
Density,324.0,320-360,0.02230361592791308
Density,330.91,320-360,0.0020828129771262027
Density,338.15,320-360,0.0027805525874091686
Density,358.15,320-360,0.004749752163161425
Density,319.15,300-320,0.0014648423114911324
Density,334.66,320-360,0.0016040612673338117
Density,308.9,300-320,0.00035793742537837403
Density,333.15,320-360,0.0026412520462448796
Density,328.0,320-360,0.0006885104371923134
Density,297.9,280-300,0.00475505818872346
Density,314.15,300-320,0.003947235169960983
Density,316.15,300-320,0.0011815901596996525
Density,363.15,>360,0.0014390445986691702
Density,333.14,320-360,0.0022621728466258872
Density,343.15,320-360,0.013122559916967091
Density,338.15,320-360,0.014137314130445944
Density,293.15,280-300,0.00038678352840637586
Density,333.15,320-360,0.0027688202927240724
Density,298.15,280-300,0.006240389451399153
Density,353.15,320-360,0.001301820036652579
Density,303.15,300-320,0.005540469768788192
Density,318.15,300-320,0.00041586013466332616
Density,333.15,320-360,0.002405114108465334
Density,283.09,280-300,0.0012930051956470123
Density,356.15,320-360,0.0002647220957952001
Density,268.17,<280,0.0009779625224926036
Density,413.2,>360,0.0037040250385880213
Density,303.0,300-320,0.006598571012737864
Density,353.0,320-360,0.005154974455583883
Density,353.15,320-360,0.002080420155376572
Density,293.15,280-300,0.0020580419043607634
Density,285.4,280-300,0.0001336043340174342
Density,356.15,320-360,0.0015979789467701622
Density,298.15,280-300,0.0033083378656586504
Density,318.15,300-320,0.0017728614608882864
Density,298.15,280-300,0.005397373180897169
Density,358.15,320-360,0.0029110815650064126
Density,278.4,<280,0.0009203145136558177
Density,323.15,320-360,0.0010942523514412272
Density,332.91,320-360,8.392159595249638e-05
Density,328.15,320-360,0.0024724163580582825
Density,338.15,320-360,0.006838269812448061
