property,Temperature_K,temperature_bin,abs_log_error
Density,298.2,280-300,0.0015263082749346069
Density,288.15,280-300,0.002407893884514678
Density,303.15,300-320,0.003770788809042358
Density,298.44,280-300,0.0026854075280970946
Density,293.15,280-300,0.004417839501234866
Density,319.148,300-320,0.000416163427359173
Density,318.15,300-320,0.0026774103616515887
Density,283.0,280-300,0.0023183370803074865
Density,338.15,320-360,0.006433117483950923
Density,293.0,280-300,0.006422532997909514
Density,298.2,280-300,0.007448063109826819
Density,325.65,320-360,0.0004721255256194823
Density,323.15,320-360,0.0007976966093350413
Density,363.16,>360,0.005052547068641999
Density,332.15,320-360,0.002751266598327362
Density,290.15,280-300,0.00410605044725898
Density,318.15,300-320,0.004265768558640026
Density,298.0,280-300,0.004659556243579388
Density,338.0,320-360,0.0049552789232381045
Density,323.15,320-360,0.0026340149983141714
Density,338.46,320-360,0.0017243753851268195
Density,333.18,320-360,0.002692210719666299
Density,299.15,280-300,0.0007342826358547327
Density,343.15,320-360,0.005808323533416093
Density,308.15,300-320,0.007175477862918278
Density,348.55,320-360,0.0008030517352839439
Density,353.15,320-360,0.002486664494559143
Density,308.15,300-320,0.002354138386468918
Density,358.15,320-360,0.004051631267875777
Density,273.15,<280,0.0007872564562063644
Density,264.16,<280,0.007382350706526708
Density,305.15,300-320,0.0004106525626479396
Density,313.15,300-320,0.0016576367741780729
Density,353.61,320-360,0.0012000800960256797
Density,358.15,320-360,0.002578328458354484
Density,303.15,300-320,0.00939954951919475
Density,316.66,300-320,0.0011916029972107722
Density,304.15,300-320,0.0015635504745956652
Density,308.15,300-320,0.0006508335893284922
Density,303.15,300-320,0.010032209308342033
Density,308.15,300-320,0.002281711234822126
Density,293.15,280-300,0.006311485633069047
Density,323.18,320-360,0.0001765961273303418
Density,303.15,300-320,0.0035901183153335126
Density,321.15,320-360,0.0007014386687353991
Density,278.15,<280,0.005159491124889115
Density,289.15,280-300,0.002612734224922697
Density,300.16,300-320,0.0011267129031962142
Density,358.15,320-360,0.001888284714435251
Density,298.148,280-300,0.0019016650315046846
Density,328.15,320-360,0.003740720357608751
Density,279.143,<280,0.0010242271389167001
Density,323.15,320-360,0.0007391822264564141
Density,318.15,300-320,0.0021886229884762187
Density,348.14,320-360,0.006705150946197058
Density,323.15,320-360,1.6204778920503315e-05
Density,308.15,300-320,0.004680218941827796
Density,313.4,300-320,0.00222206532969782
Density,318.15,300-320,0.006354786099933563
Density,328.15,320-360,0.0028590972345208243
Density,288.15,280-300,0.00010831224547303009
Density,343.15,320-360,0.002648344768170219
Density,288.12,280-300,0.0011658071995395147
Density,303.15,300-320,0.0016459286744909818
Density,280.9,280-300,0.0007844496721656213
Density,338.15,320-360,0.0009540747323271148
Density,293.15,280-300,0.0008234771316475431
Density,330.65,320-360,0.0001639682110115004
Density,293.15,280-300,0.0010656763242629097
Density,323.15,320-360,0.0016913845447046327
Density,358.19,320-360,0.0004015042468061836
Density,328.75,320-360,0.00470628786874272
Density,333.15,320-360,0.04275275642991705
Density,308.15,300-320,0.017830811830558346
Density,340.15,320-360,0.0030727436294615273
Density,333.15,320-360,0.004844188775630975
Density,303.2,300-320,0.007220450711284521
Density,333.15,320-360,0.0012017059499340732
Density,332.15,320-360,0.0006848936696259855
Density,283.15,280-300,0.006084498220442214
Density,338.15,320-360,0.004361179342430077
Density,348.15,320-360,0.007726280763353799
Density,308.15,300-320,0.008792827756677113
Density,283.15,280-300,0.005004888819851061
Density,333.15,320-360,0.0006662591087112091
Density,333.0,320-360,0.010450802316651853
Density,323.15,320-360,0.0035858882447818985
Density,363.15,>360,0.005342891259768834
Density,338.26,320-360,0.006059750033636568
Density,373.15,>360,0.003148599766256588
Density,298.15,280-300,0.004089782123453567
Density,363.15,>360,0.007620804653607038
Density,343.2,320-360,0.0001931477366152734
Density,300.2,300-320,0.0021581210895096348
Density,329.399,320-360,0.0022553378872727237
Density,333.15,320-360,0.0021499821060473323
Density,323.15,320-360,0.0025787294914580983
Density,323.2,320-360,0.0028062794804171176
Density,299.15,280-300,0.0008701778521151837
Density,328.15,320-360,0.021391569528990573
Density,353.15,320-360,0.001088563768356643
Density,303.15,300-320,0.0022387800688754567
Density,301.15,300-320,0.0039821331751630495
Density,338.15,320-360,0.005333451673520173
Density,303.15,300-320,0.006907441492365329
Density,323.15,320-360,0.0037927280632601423
Density,303.15,300-320,0.0017146425088956363
Density,333.15,320-360,0.0031590652226043403
Density,343.2,320-360,0.0026975143181111605
Density,348.15,320-360,0.01143169301523006
Density,317.16,300-320,0.0012504011806768744
Density,353.15,320-360,0.0027045528509619388
Density,303.0,300-320,0.00020748874780629478
Density,357.15,320-360,0.0025362657104901487
Density,298.15,280-300,0.0003013985810591535
Density,337.88,320-360,0.0008225150322633823
Density,363.15,>360,0.014067212108250793
Density,303.15,300-320,0.0036687058681454943
Density,313.15,300-320,0.0008440621955010386
Density,373.15,>360,0.003016186284233058
Density,341.15,320-360,0.004487573098368003
Density,293.4,280-300,0.002822443016956555
Density,323.15,320-360,0.004477494221309719
Density,283.15,280-300,0.0005811874643857351
Density,329.899,320-360,0.0023399417832603575
Density,318.19,300-320,0.0025172589938788903
Density,303.15,300-320,0.0039243360427354546
Density,293.15,280-300,0.0001558043581839641
Density,343.15,320-360,0.005417902560774124
Density,373.15,>360,0.0032576469447329615
Density,288.15,280-300,8.342479451695084e-05
Density,313.15,300-320,0.0038056375751516214
Density,343.141,320-360,0.00042588309337521224
Density,373.15,>360,0.0007247648947803498
Density,363.15,>360,0.0034107712303095283
Density,321.15,320-360,0.001705163205281579
Density,300.4,300-320,0.00040827978128366027
Density,348.15,320-360,0.007009036959735759
Density,343.14,320-360,0.003038985613640577
Density,303.15,300-320,0.001001385151256251
Density,323.15,320-360,0.0005096959758512654
Density,293.15,280-300,0.0009384352275958463
Density,335.16,320-360,0.0016803414075594603
Density,308.0,300-320,0.003433286857164042
Density,329.15,320-360,0.0018357953499092972
Density,353.15,320-360,0.0053032230633576205
Density,343.2,320-360,0.0003662173135738911
Density,335.66,320-360,0.0012088189419010575
