panel,feature_group,feature_type,feature,feature_pretty,plot_order_top_to_bottom,plot_order_bottom_to_top,plot_y_base,plot_y_offset,plot_y,property,property_short,importance,normalized_importance,mean_normalized_importance,n_labels,marker,color,mean_bar_color
J,atom-node,atom-node category,hetero atoms,hetero atoms,1,6,5,-0.22,4.78,Density,Density,0.5062417698055042,0.3003918221516586,0.29487106836521093,321,o,#1F4E79,#D7E6F5
J,atom-node,atom-node category,hetero atoms,hetero atoms,1,6,5,-0.132,4.868,ElectricalConductivity,EC,0.5196475420449231,0.2957261389161912,0.29487106836521093,185,s,#2C7FB8,#D7E6F5
J,atom-node,atom-node category,hetero atoms,hetero atoms,1,6,5,-0.04400000000000001,4.956,HeatCapacity,HC,0.5053811174196502,0.2852858589887867,0.29487106836521093,192,^,#41B6C4,#D7E6F5
J,atom-node,atom-node category,hetero atoms,hetero atoms,1,6,5,0.04400000000000001,5.044,SurfaceTension,ST,0.5134289748966694,0.2772357837168012,0.29487106836521093,128,D,#7FCDBB,#D7E6F5
J,atom-node,atom-node category,hetero atoms,hetero atoms,1,6,5,0.13199999999999998,5.132,ThermalConductivity,TC,0.5130854463431893,0.3068959782862154,0.29487106836521093,123,P,#A6BDDB,#D7E6F5
J,atom-node,atom-node category,hetero atoms,hetero atoms,1,6,5,0.22,5.22,Viscosity,Visc.,0.515725987734812,0.3036908281316126,0.29487106836521093,273,X,#08519C,#D7E6F5
K,cross-ion,cross-ion edge category,H-bond compatible pairs,H-bond compatible pairs,5,1,0,-0.22,-0.22,Density,Density,0.0070550104463044,0.0067629724974956,0.0030248398138061332,321,o,#1B7837,#DDEEDB
K,cross-ion,cross-ion edge category,H-bond compatible pairs,H-bond compatible pairs,5,1,0,-0.132,-0.132,ElectricalConductivity,EC,0.0044579971192261,0.0042464817840167,0.0030248398138061332,185,s,#4DAF4A,#DDEEDB
K,cross-ion,cross-ion edge category,H-bond compatible pairs,H-bond compatible pairs,5,1,0,-0.04400000000000001,-0.04400000000000001,HeatCapacity,HC,0.0022911194351014,0.0021735154715172,0.0030248398138061332,192,^,#80C67A,#DDEEDB
K,cross-ion,cross-ion edge category,H-bond compatible pairs,H-bond compatible pairs,5,1,0,0.04400000000000001,0.04400000000000001,SurfaceTension,ST,0.0009322676733773,0.0008829259345982,0.0030248398138061332,128,D,#A6D96A,#DDEEDB
K,cross-ion,cross-ion edge category,H-bond compatible pairs,H-bond compatible pairs,5,1,0,0.13199999999999998,0.13199999999999998,ThermalConductivity,TC,0.0004205754920234,0.0004033329814414,0.0030248398138061332,123,P,#35978F,#DDEEDB
K,cross-ion,cross-ion edge category,H-bond compatible pairs,H-bond compatible pairs,5,1,0,0.22,0.22,Viscosity,Visc.,0.003847601945149,0.0036798102137677,0.0030248398138061332,273,X,#006D2C,#DDEEDB
K,cross-ion,cross-ion edge category,aromatic-contact pairs,aromatic-contact pairs,4,2,1,-0.22,0.78,Density,Density,0.0109669655050815,0.0105129945102635,0.007878246932714033,321,o,#1B7837,#DDEEDB
K,cross-ion,cross-ion edge category,aromatic-contact pairs,aromatic-contact pairs,4,2,1,-0.132,0.868,ElectricalConductivity,EC,0.014312806040854,0.0136337167802391,0.007878246932714033,185,s,#4DAF4A,#DDEEDB
K,cross-ion,cross-ion edge category,aromatic-contact pairs,aromatic-contact pairs,4,2,1,-0.04400000000000001,0.956,HeatCapacity,HC,0.010982446372509,0.0104187135511338,0.007878246932714033,192,^,#80C67A,#DDEEDB
K,cross-ion,cross-ion edge category,aromatic-contact pairs,aromatic-contact pairs,4,2,1,0.04400000000000001,1.044,SurfaceTension,ST,0.0022452340926975,0.0021264015328399,0.007878246932714033,128,D,#A6D96A,#DDEEDB
K,cross-ion,cross-ion edge category,aromatic-contact pairs,aromatic-contact pairs,4,2,1,0.13199999999999998,1.132,ThermalConductivity,TC,0.0,0.0,0.007878246932714033,123,P,#35978F,#DDEEDB
K,cross-ion,cross-ion edge category,aromatic-contact pairs,aromatic-contact pairs,4,2,1,0.22,1.22,Viscosity,Visc.,0.0110599744123416,0.0105776552218079,0.007878246932714033,273,X,#006D2C,#DDEEDB
K,cross-ion,cross-ion edge category,charge-complementary pairs,charge-complementary pairs,3,3,2,-0.22,1.78,Density,Density,0.0426448714742408,0.0408796124590578,0.04611511308194342,321,o,#1B7837,#DDEEDB
K,cross-ion,cross-ion edge category,charge-complementary pairs,charge-complementary pairs,3,3,2,-0.132,1.8679999999999999,ElectricalConductivity,EC,0.0498095383817279,0.0474462615725077,0.04611511308194342,185,s,#4DAF4A,#DDEEDB
K,cross-ion,cross-ion edge category,charge-complementary pairs,charge-complementary pairs,3,3,2,-0.04400000000000001,1.956,HeatCapacity,HC,0.0541077231706973,0.0513303547769345,0.04611511308194342,192,^,#80C67A,#DDEEDB
K,cross-ion,cross-ion edge category,charge-complementary pairs,charge-complementary pairs,3,3,2,0.04400000000000001,2.044,SurfaceTension,ST,0.0558843498583883,0.0529265823938518,0.04611511308194342,128,D,#A6D96A,#DDEEDB
K,cross-ion,cross-ion edge category,charge-complementary pairs,charge-complementary pairs,3,3,2,0.13199999999999998,2.132,ThermalConductivity,TC,0.0427500653020068,0.0409974228696008,0.04611511308194342,123,P,#35978F,#DDEEDB
K,cross-ion,cross-ion edge category,charge-complementary pairs,charge-complementary pairs,3,3,2,0.22,2.22,Viscosity,Visc.,0.0450761914799064,0.0431104444197079,0.04611511308194342,273,X,#006D2C,#DDEEDB
K,cross-ion,cross-ion edge category,charge-magnitude pairs,charge-magnitude pairs,2,4,3,-0.22,2.78,Density,Density,0.044650338543724,0.0428020644155468,0.04719114983360204,321,o,#1B7837,#DDEEDB
K,cross-ion,cross-ion edge category,charge-magnitude pairs,charge-magnitude pairs,2,4,3,-0.132,2.868,ElectricalConductivity,EC,0.0527235592035828,0.0502220229755119,0.04719114983360204,185,s,#4DAF4A,#DDEEDB
K,cross-ion,cross-ion edge category,charge-magnitude pairs,charge-magnitude pairs,2,4,3,-0.04400000000000001,2.956,HeatCapacity,HC,0.0543073664448456,0.0515197502918508,0.04719114983360204,192,^,#80C67A,#DDEEDB
K,cross-ion,cross-ion edge category,charge-magnitude pairs,charge-magnitude pairs,2,4,3,0.04400000000000001,3.044,SurfaceTension,ST,0.0558843498583883,0.0529265823938518,0.04719114983360204,128,D,#A6D96A,#DDEEDB
K,cross-ion,cross-ion edge category,charge-magnitude pairs,charge-magnitude pairs,2,4,3,0.13199999999999998,3.132,ThermalConductivity,TC,0.0427500653020068,0.0409974228696008,0.04719114983360204,123,P,#35978F,#DDEEDB
K,cross-ion,cross-ion edge category,charge-magnitude pairs,charge-magnitude pairs,2,4,3,0.22,3.22,Viscosity,Visc.,0.0467163285602143,0.0446790560552502,0.04719114983360204,273,X,#006D2C,#DDEEDB
K,cross-ion,cross-ion edge category,other attended pairs,other attended pairs,1,5,4,-0.22,3.78,Density,Density,0.9378647061523248,0.8990423561176359,0.8957906503379341,321,o,#1B7837,#DDEEDB
K,cross-ion,cross-ion edge category,other attended pairs,other attended pairs,1,5,4,-0.132,3.868,ElectricalConductivity,EC,0.92850564653809,0.8844515168877243,0.8957906503379341,185,s,#4DAF4A,#DDEEDB
K,cross-ion,cross-ion edge category,other attended pairs,other attended pairs,1,5,4,-0.04400000000000001,3.956,HeatCapacity,HC,0.9324190632129707,0.8845576659085634,0.8957906503379341,192,^,#80C67A,#DDEEDB
K,cross-ion,cross-ion edge category,other attended pairs,other attended pairs,1,5,4,0.04400000000000001,4.044,SurfaceTension,ST,0.9409381449222564,0.8911375077448582,0.8957906503379341,128,D,#A6D96A,#DDEEDB
K,cross-ion,cross-ion edge category,other attended pairs,other attended pairs,1,5,4,0.13199999999999998,4.132,ThermalConductivity,TC,0.9568293574379712,0.9176018212793569,0.8957906503379341,123,P,#35978F,#DDEEDB
K,cross-ion,cross-ion edge category,other attended pairs,other attended pairs,1,5,4,0.22,4.22,Viscosity,Visc.,0.9388978343743544,0.8979530340894661,0.8957906503379341,273,X,#006D2C,#DDEEDB
L,functional-group,functional-group descriptor,Ani: hbond_donor,Ani: H-bond donor,12,1,0,-0.22,-0.22,Density,Density,0.0143565305750207,0.0144864255207948,0.021522402504741082,321,o,#542788,#E8DDF0
L,functional-group,functional-group descriptor,Ani: hbond_donor,Ani: H-bond donor,12,1,0,-0.132,-0.132,ElectricalConductivity,EC,0.0083145775630868,0.0102938267564426,0.021522402504741082,185,s,#8073AC,#E8DDF0
L,functional-group,functional-group descriptor,Ani: hbond_donor,Ani: H-bond donor,12,1,0,-0.04400000000000001,-0.04400000000000001,HeatCapacity,HC,0.0184216720517724,0.0256615918374775,0.021522402504741082,192,^,#B2ABD2,#E8DDF0
L,functional-group,functional-group descriptor,Ani: hbond_donor,Ani: H-bond donor,12,1,0,0.04400000000000001,0.04400000000000001,SurfaceTension,ST,0.024558784050896,0.0162255417587705,0.021522402504741082,128,D,#C51B7D,#E8DDF0
L,functional-group,functional-group descriptor,Ani: hbond_donor,Ani: H-bond donor,12,1,0,0.13199999999999998,0.13199999999999998,ThermalConductivity,TC,0.0125252409133969,0.0205540177620537,0.021522402504741082,123,P,#E78AC3,#E8DDF0
L,functional-group,functional-group descriptor,Ani: hbond_donor,Ani: H-bond donor,12,1,0,0.22,0.22,Viscosity,Visc.,0.0469010725554297,0.0419130113929074,0.021522402504741082,273,X,#A6611A,#E8DDF0
L,functional-group,functional-group descriptor,Ani: negative_atom_fraction,Ani: negative atom fraction,11,2,1,-0.22,0.78,Density,Density,0.0321258722784177,0.0324165405854814,0.022228441679719647,321,o,#542788,#E8DDF0
L,functional-group,functional-group descriptor,Ani: negative_atom_fraction,Ani: negative atom fraction,11,2,1,-0.132,0.868,ElectricalConductivity,EC,0.0167013092872661,0.0206769836596554,0.022228441679719647,185,s,#8073AC,#E8DDF0
L,functional-group,functional-group descriptor,Ani: negative_atom_fraction,Ani: negative atom fraction,11,2,1,-0.04400000000000001,0.956,HeatCapacity,HC,0.0127827115156833,0.0178064577726606,0.022228441679719647,192,^,#B2ABD2,#E8DDF0
L,functional-group,functional-group descriptor,Ani: negative_atom_fraction,Ani: negative atom fraction,11,2,1,0.04400000000000001,1.044,SurfaceTension,ST,0.0399024989455938,0.0263628550004456,0.022228441679719647,128,D,#C51B7D,#E8DDF0
L,functional-group,functional-group descriptor,Ani: negative_atom_fraction,Ani: negative atom fraction,11,2,1,0.13199999999999998,1.132,ThermalConductivity,TC,0.0122607988335558,0.0201200662521651,0.022228441679719647,123,P,#E78AC3,#E8DDF0
L,functional-group,functional-group descriptor,Ani: negative_atom_fraction,Ani: negative atom fraction,11,2,1,0.22,1.22,Viscosity,Visc.,0.0178904461434738,0.0159877468079098,0.022228441679719647,273,X,#A6611A,#E8DDF0
L,functional-group,functional-group descriptor,Cat: imidazolium_like,Cat: imidazolium like,10,3,2,-0.22,1.78,Density,Density,0.0148665082243465,0.0150010173433541,0.023352991631003517,321,o,#542788,#E8DDF0
