sample_id,IL_Name,IL_SMILES,Temperature_K,Pressure_kPa,property,y_true,y_pred,absolute_error,split,split_strategy,split_short,panel,panel_title,plot_included
3725,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,313.0,100.0,ThermalConductivity,0.09899999,0.09900571,5.7145953e-06,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
2442,"N,N-dibutyl-N-methylbutanaminium L-serinate",CCCC[N+](C)(CCCC)CCCC.N[C@@H](CO)C(=O)[O-],303.15,101.325,ThermalConductivity,0.16800001,0.16924891,0.0012488961,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
4399,1-ethyl-3-methylimidazolium methanesulfonate,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],375.0,101.325,ThermalConductivity,0.21,0.20037346,0.009626538,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
2906,1-butyl-3-methylimidazolium tetrafluoroborate,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,350.0,101.325,ThermalConductivity,0.18299997,0.17980357,0.0031964034,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
1884,1-hexyl-3-methylimidazolium hexafluorophosphate,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,335.2,20000.0,ThermalConductivity,0.147,0.14677031,0.0002296865,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
2516,tetrabutylphosphonium L-lysinate,CCCC[P+](CCCC)(CCCC)CCCC.NCCCC[C@H](N)C(=O)[O-],303.15,101.325,ThermalConductivity,0.163,0.16336785,0.00036785007,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
4475,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,390.0,101.325,ThermalConductivity,0.188,0.18922302,0.0012230277,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
4147,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,320.0,101.325,ThermalConductivity,0.12899998,0.12974179,0.0007418096,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
3328,1-butyl-3-methylimidazolium dicyanamide,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,303.15,20000.0,ThermalConductivity,0.179,0.17882995,0.00017005205,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
4513,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,313.15,101.325,ThermalConductivity,0.19139999,0.1906894,0.0007105917,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
5086,1-butyl-3-methylimidazolium methylsulfate,COS(=O)(=O)[O-].C(CCC)N1C=[N+](C=C1)C,313.15,101.325,ThermalConductivity,0.176,0.1672595,0.0087405,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
4150,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,380.0,101.325,ThermalConductivity,0.126,0.12680578,0.0008057803,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
2812,1-butyl-3-methylimidazolium methyl sulfate,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],313.15,50000.0,ThermalConductivity,0.179,0.18031365,0.0013136417,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
964,trihexyl(tetradecyl)phosphonium chloride,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],333.0,101.325,ThermalConductivity,0.157,0.15744765,0.00044764578,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
916,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,302.37,101.325,ThermalConductivity,0.137,0.14131102,0.004311025,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
528,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,298.04,101.325,ThermalConductivity,0.135,0.133741,0.0012589991,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
4218,1-ethyl-3-methylimidazolium ethyl sulfate,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,352.82,101.325,ThermalConductivity,0.18299997,0.18335773,0.00035776198,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
5074,1-butyl-3-methylimidazolium methylsulfate,COS(=O)(=O)[O-].C(CCC)N1C=[N+](C=C1)C,283.15,100.0,ThermalConductivity,0.17700002,0.17988527,0.0028852522,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
1535,1-methyl-3-octylimidazolium tetracyanoborate,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,293.15,101.325,ThermalConductivity,0.16939999,0.16771114,0.0016888529,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
76,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,308.15,101.325,ThermalConductivity,0.17999999,0.18239553,0.0023955405,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
1124,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.0,101.325,ThermalConductivity,0.128,0.12788184,0.00011816621,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
1538,1-methyl-3-octylimidazolium tetracyanoborate,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,323.15,101.325,ThermalConductivity,0.1586,0.16185085,0.0032508522,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
2523,tetrabutylphosphonium L-prolinate,CCCC[P+](CCCC)(CCCC)CCCC.O=C([O-])[C@@H]1CCCN1,343.15,101.325,ThermalConductivity,0.149,0.14910877,0.000108763576,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
2080,1-hexyl-3-methylimidazolium chloride,CCCCCC[n+]1ccn(C)c1.[Cl-],314.3,20000.0,ThermalConductivity,0.18199998,0.18008044,0.0019195378,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
4450,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,310.0,101.325,ThermalConductivity,0.197,0.19739766,0.0003976673,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
3317,1-butyl-3-methylimidazolium dicyanamide,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,283.15,30000.0,ThermalConductivity,0.18899998,0.18948592,0.00048594177,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
3463,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,308.15,101.325,ThermalConductivity,0.13,0.12450421,0.0054957867,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
625,trihexyl(tetradecyl)phosphonium butyrate,CCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,318.11,101.325,ThermalConductivity,0.1543,0.15330392,0.000996083,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
2166,3-hexyl-1-methylimidazolium tricyanomethanide,CCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,293.15,101.325,ThermalConductivity,0.18149999,0.18274637,0.0012463778,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
761,trihexyl(tetradecyl)phosphonium octanoate,CCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,317.92,101.325,ThermalConductivity,0.156,0.15342139,0.0025786161,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
4790,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.15,101.325,ThermalConductivity,0.11909999,0.124221064,0.0051210746,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
967,trihexyl(tetradecyl)phosphonium chloride,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],343.0,101.325,ThermalConductivity,0.156,0.15644023,0.000440225,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
1874,1-hexyl-3-methylimidazolium hexafluorophosphate,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,315.1,10000.0,ThermalConductivity,0.146,0.1460269,2.6896596e-05,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
849,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,334.58,101.325,ThermalConductivity,0.12300002,0.12297565,2.437085e-05,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
4547,1-ethyl-3-methylimidazolium dicyanamide,CC[n+]1ccn(C)c1.N#C[N-]C#N,273.15,101.325,ThermalConductivity,0.2053,0.2008603,0.0044396967,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
2439,"N,N-dibutyl-N-methyl-1-butanaminium L-lysinate",CCCC[N+](C)(CCCC)CCCC.NCCCC[C@H](N)C(=O)[O-],313.15,101.325,ThermalConductivity,0.169,0.16929846,0.00029845536,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
4382,1-ethyl-3-methylimidazolium methanesulfonate,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],293.15,101.0,ThermalConductivity,0.18699999,0.19697465,0.0099746585,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
3255,1-butyl-3-methylimidazolium hexafluoroantimonate,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,283.15,20000.0,ThermalConductivity,0.144,0.14243223,0.0015677661,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
1096,1-decyl-3-methyl-1H-imidazolium tetracyanoborate,CCCCCCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,343.15,101.325,ThermalConductivity,0.16,0.15837047,0.0016295314,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
3257,1-butyl-3-methylimidazolium hexafluoroantimonate,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,293.15,30000.0,ThermalConductivity,0.144,0.1423541,0.0016458929,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
3318,1-butyl-3-methylimidazolium dicyanamide,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,283.15,40000.0,ThermalConductivity,0.19300002,0.19202136,0.0009786636,test,Random point,Point,F,Thermal conductivity multi-split parity plot,True
