sample_id,IL_Name,IL_SMILES,Temperature_K,Pressure_kPa,property,y_true,y_pred,absolute_error,split,split_strategy,split_short,panel,panel_title,plot_included
4814,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,298.2,101.325,Density,1381.3004,1383.4103,2.1098633,test,Random point,Point,A,Density multi-split parity plot,True
4661,1-ethyl-3-methylimidazolium thiocyanate,CC[n+]1ccn(C)c1.N#C[S-],288.15,100.0,Density,1122.7001,1125.4067,2.706665,test,Random point,Point,A,Density multi-split parity plot,True
2668,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,303.15,101.325,Density,1411.8066,1406.493,5.3135986,test,Random point,Point,A,Density multi-split parity plot,True
3930,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.44,100.0,Density,1448.1503,1452.0444,3.894165,test,Random point,Point,A,Density multi-split parity plot,True
1429,3-methyl-1-octylimidazolium dicyanamide,CCCCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,293.15,101.325,Density,1012.9999,1008.5345,4.465393,test,Random point,Point,A,Density multi-split parity plot,True
5537,diethanolammonium formate,O=C[O-].OCC[NH2+]CCO,319.148,101.325,Density,1180.3002,1180.7915,0.491333,test,Random point,Point,A,Density multi-split parity plot,True
1198,1-nonyl-3-methylimidazolium hexafluorophosphate,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,318.15,101.325,Density,1197.8003,1201.0116,3.2113037,test,Random point,Point,A,Density multi-split parity plot,True
3409,1-butyl-3-methylimidazolium pentafluoropropanoyl(trifluoromethylsulfonyl)amide,CCCC[n+]1ccn(C)c1.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)C(F)(F)F,283.0,100.0,Density,1430.1,1433.4193,3.319336,test,Random point,Point,A,Density multi-split parity plot,True
1762,1-hexyl-4-methylpyridinium bis(trifluoromethanesulfonyl)imide,CCCCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,338.15,100.0,Density,1316.5001,1324.9966,8.49646,test,Random point,Point,A,Density multi-split parity plot,True
5143,(3-carboxypropyl)trimethylammonium bis((trifluoromethyl)sulfonyl)amide,C[N+](C)(C)CCCC(=O)O.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,293.0,101.325,Density,1519.3999,1529.1897,9.789795,test,Random point,Point,A,Density multi-split parity plot,True
1354,1-octyl-3-methylimidazolium hexafluorophosphate,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,298.2,101.325,Density,1224.4998,1233.654,9.154297,test,Random point,Point,A,Density multi-split parity plot,True
4365,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,325.65,101.325,Density,1479.1302,1479.8287,0.6984863,test,Random point,Point,A,Density multi-split parity plot,True
3979,2-methyl-1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,CCC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,100.0,Density,1440.7,1441.8497,1.1497803,test,Random point,Point,A,Density multi-split parity plot,True
4840,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,363.16,100.0,Density,1323.9999,1330.7064,6.706543,test,Random point,Point,A,Density multi-split parity plot,True
5598,1-ethyl-3-methylimidazolium hydrogensulfate,S(=O)(=O)(O)[O-].C(C)N1C=[N+](C=C1)C,332.15,101.325,Density,1345.2001,1348.9062,3.7061768,test,Random point,Point,A,Density multi-split parity plot,True
2359,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,290.15,101.325,Density,1400.1,1405.8607,5.760742,test,Random point,Point,A,Density multi-split parity plot,True
2470,tributylammonium bis((trifluoromethyl)sulfonyl)amide,CCCC[NH+](CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.15,101.325,Density,1223.2999,1218.0927,5.2072754,test,Random point,Point,A,Density multi-split parity plot,True
