Property,Train labels,Single MAE,Joint MAE,MAE reduction by joint,Single R2,Joint R2,Delta R2 joint-single,Single log_MAE,Joint log_MAE,log_MAE reduction by joint,Single log_R2,Joint log_R2,Delta log_R2 joint-single
Density,12545,19.138586044311523,25.687313079833984,-0.34217402583243134,0.9666025638580322,0.9574281573295592,-0.009174406528473011,0.0159255191683769,0.021510537713766,-0.35069616797669007,0.966151475906372,0.9554110765457152,-0.010740399360656738
ElectricalConductivity,3778,0.3351437747478485,0.3720495998859405,-0.11011938134867268,0.7762236595153809,0.6203293800354004,-0.15589427947998047,0.5293284058570862,0.4612345993518829,0.12864188989620937,0.7549267411231995,0.7807630896568298,0.02583634853363037
HeatCapacity,6016,33.06678009033203,29.43735122680664,0.10976057703866221,0.8911508917808533,0.9228174090385436,0.03166651725769032,0.0547554790973663,0.0516862459480762,0.056053443415815654,0.9265758395195008,0.9343514442443848,0.007775604724883922
SurfaceTension,3697,0.0026495177298784,0.002504596253857,0.05469730373461253,0.7235382199287415,0.6994099617004395,-0.024128258228302002,0.0691823363304138,0.0644013285636901,0.0691073476311884,0.7497678995132446,0.7361615896224976,-0.01360630989074707
ThermalConductivity,648,0.0069331591948866,0.0046612038277089,0.3276941006710666,0.7966875433921814,0.9285837411880492,0.1318961977958678,0.041360430419445,0.0288240108639001,0.30310176727878263,0.85257887840271,0.9466800093650818,0.09410113096237183
Viscosity,8817,0.2429632693529129,0.2029561102390289,0.16466340455672812,0.4303817749023437,0.5556832551956177,0.12530148029327398,0.6239657998085022,0.4845008552074432,0.22351376412595275,0.6190539598464966,0.706074595451355,0.0870206356048584
