target_property,ratios,mean_delta_R2,mean_delta_log_R2,mean_relative_MAE_reduction,mean_relative_log_MAE_reduction,positive_raw_MAE_reductions,positive_log_MAE_reductions,positive_R2_changes,positive_log_R2_changes
Density,3,0.0003002285957336333,0.0011158386866251667,-0.07363324312811416,-0.07136521249138036,0,0,2,2
ElectricalConductivity,3,-0.3219454884529113,-0.007821043332417801,-0.14493576703094688,-0.08657604529638552,0,1,0,1
HeatCapacity,3,-0.020778874556223566,-0.02735066413879393,-0.23857111197242775,-0.2611265714115343,0,0,1,2
SurfaceTension,3,0.0032630761464436664,0.013202210267384837,-0.024838646322633134,-0.019656485201219164,2,2,2,2
ThermalConductivity,3,0.06962672869364417,0.05079660813013707,-0.009238531923352234,-0.002057306230274468,1,1,3,3
Viscosity,3,2.55564018090566,0.030277192592620798,0.13872293063053656,0.0010451960534740995,2,1,1,3
