run_name,status,seed,mode,target_property,target_train_ratio,target_train_labels,target_original_train_labels,aux_train_labels,total_visible_train_labels,config_path,mask_path,MAE,RMSE,R2,MAPE,NMAE_mean,NRMSE_mean,label_count,log_MAE,log_RMSE,log_R2
sparse_label_seed42_single_full_ThermalConductivity_r1p0_seed42,done_existing,42,single_full,ThermalConductivity,1.0,648,648,0,648,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_single_full_ThermalConductivity_r1p0_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_single_full_ThermalConductivity_r1p0_seed42_train_visible_mask.npz,0.006933159194886684,0.012588408775627613,0.7966875433921814,4.011446475982666,0.04398756009834123,0.07986739839592795,55,0.04136043041944504,0.06507136672735214,0.85257887840271
sparse_label_seed42_single_full_Viscosity_r1p0_seed42,done_existing,42,single_full,Viscosity,1.0,8817,8817,0,8817,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_single_full_Viscosity_r1p0_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_single_full_Viscosity_r1p0_seed42_train_visible_mask.npz,0.2429632693529129,1.1675232648849487,0.43038177490234375,64.7724609375,0.7091001376190119,3.4074735247358476,1570,0.6239657998085022,0.9231826066970825,0.6190539598464966
sparse_label_seed42_target_only_low_label_Density_r0p1_seed42,done_existing,42,target_only_low_label,Density,0.1,1254,12545,0,1254,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_Density_r0p1_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_Density_r0p1_seed42_train_visible_mask.npz,21.388309478759766,34.18581008911133,0.9606689214706421,1.7690030336380005,0.017585996731174974,0.028108418062526615,2666,0.01777735725045204,0.02885294146835804,0.9579795002937317
sparse_label_seed42_multitask_transfer_Density_r0p1_seed42,done_existing,42,multitask_transfer,Density,0.1,1254,12545,22956,24210,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_Density_r0p1_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_Density_r0p1_seed42_train_visible_mask.npz,21.57270050048828,33.0821533203125,0.9631674289703369,1.7845669984817505,0.01773760758703041,0.02720096418695455,2666,0.017877677455544472,0.027301447466015816,0.9623770713806152
sparse_label_seed42_target_only_low_label_Density_r0p25_seed42,done_existing,42,target_only_low_label,Density,0.25,3136,12545,0,3136,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_Density_r0p25_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_Density_r0p25_seed42_train_visible_mask.npz,21.34844970703125,36.582794189453125,0.9549600481987,1.800061583518982,0.017553223041603144,0.030079277638649298,2666,0.017724566161632538,0.03061925247311592,0.9526772499084473
sparse_label_seed42_multitask_transfer_Density_r0p25_seed42,done_existing,42,multitask_transfer,Density,0.25,3136,12545,22956,26092,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_Density_r0p25_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_Density_r0p25_seed42_train_visible_mask.npz,23.94121742248535,34.99407196044922,0.9587870836257935,1.9870539903640747,0.01968506074546434,0.028772990951814438,2666,0.0198947973549366,0.028704438358545303,0.958410918712616
sparse_label_seed42_target_only_low_label_Density_r0p5_seed42,done_existing,42,target_only_low_label,Density,0.5,6272,12545,0,6272,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_Density_r0p5_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_Density_r0p5_seed42_train_visible_mask.npz,22.32686424255371,35.7703857421875,0.9569382667541504,1.8723821640014648,0.018357699657229047,0.029411295332138338,2666,0.018646743148565292,0.02935989759862423,0.9564899206161499
sparse_label_seed42_multitask_transfer_Density_r0p5_seed42,done_existing,42,multitask_transfer,Density,0.5,6272,12545,22956,29228,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_Density_r0p5_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_Density_r0p5_seed42_train_visible_mask.npz,24.35478401184082,37.95672607421875,0.951513409614563,2.0260961055755615,0.020025105417800462,0.0312089583952486,2666,0.020250558853149414,0.03156580030918121,0.9497061967849731
sparse_label_seed42_target_only_low_label_ElectricalConductivity_r0p1_seed42,done_existing,42,target_only_low_label,ElectricalConductivity,0.1,378,3778,0,378,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_ElectricalConductivity_r0p1_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_ElectricalConductivity_r0p1_seed42_train_visible_mask.npz,0.37627968192100525,0.7938670516014099,0.6156871318817139,7413.16015625,0.3773675490325068,0.7961622110209482,673,0.46697092056274414,0.8154076933860779,0.7510652542114258
sparse_label_seed42_multitask_transfer_ElectricalConductivity_r0p1_seed42,done_existing,42,multitask_transfer,ElectricalConductivity,0.1,378,3778,31723,32101,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_ElectricalConductivity_r0p1_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_ElectricalConductivity_r0p1_seed42_train_visible_mask.npz,0.40371957421302795,0.8726518750190735,0.535622239112854,2023.7781982421875,0.404886773156148,0.8751748102723851,673,0.5479336380958557,0.8551146388053894,0.7262307405471802
sparse_label_seed42_target_only_low_label_ElectricalConductivity_r0p25_seed42,done_existing,42,target_only_low_label,ElectricalConductivity,0.25,944,3778,0,944,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_ElectricalConductivity_r0p25_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_ElectricalConductivity_r0p25_seed42_train_visible_mask.npz,0.35678228735923767,0.7006959319114685,0.7006021738052368,2821.821044921875,0.3578137852982252,0.7027217230878559,673,0.4596729874610901,0.7758699059486389,0.7746208310127258
sparse_label_seed42_multitask_transfer_ElectricalConductivity_r0p25_seed42,done_existing,42,multitask_transfer,ElectricalConductivity,0.25,944,3778,31723,32667,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_ElectricalConductivity_r0p25_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_ElectricalConductivity_r0p25_seed42_train_visible_mask.npz,0.4849010109901428,0.9410160183906555,0.46001285314559937,3821.59814453125,0.48630291464727615,0.9437366021133191,673,0.5931081175804138,0.8821058869361877,0.70867520570755
sparse_label_seed42_target_only_low_label_ElectricalConductivity_r0p5_seed42,done_existing,42,target_only_low_label,ElectricalConductivity,0.5,1889,3778,0,1889,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_ElectricalConductivity_r0p5_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_ElectricalConductivity_r0p5_seed42_train_visible_mask.npz,0.39411258697509766,0.6997215151786804,0.701434314250946,6471.13037109375,0.39525201103172,0.7017444892061027,673,0.5095006227493286,0.8273739814758301,0.7437052726745605
sparse_label_seed42_multitask_transfer_ElectricalConductivity_r0p5_seed42,done_existing,42,multitask_transfer,ElectricalConductivity,0.5,1889,3778,31723,33612,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_ElectricalConductivity_r0p5_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_ElectricalConductivity_r0p5_seed42_train_visible_mask.npz,0.39521142840385437,1.2440370321273804,0.05625206232070923,2389.598876953125,0.3963540293353082,1.2476336838674695,673,0.4055965840816498,0.710456132888794,0.8110222816467285
sparse_label_seed42_target_only_low_label_HeatCapacity_r0p1_seed42,done_existing,42,target_only_low_label,HeatCapacity,0.1,602,6016,0,602,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_HeatCapacity_r0p1_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_HeatCapacity_r0p1_seed42_train_visible_mask.npz,34.806087493896484,59.651309967041016,0.8886902928352356,6.782279968261719,0.060895574174839644,0.10436394987978136,916,0.06425923854112625,0.10995887964963913,0.8762425184249878
sparse_label_seed42_multitask_transfer_HeatCapacity_r0p1_seed42,done_existing,42,multitask_transfer,HeatCapacity,0.1,602,6016,29485,30087,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_HeatCapacity_r0p1_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_HeatCapacity_r0p1_seed42_train_visible_mask.npz,39.013675689697266,54.03767395019531,0.9086546301841736,7.2493133544921875,0.06825703067636389,0.09454251882941339,916,0.0736432746052742,0.10153020173311234,0.8944881558418274
sparse_label_seed42_target_only_low_label_HeatCapacity_r0p25_seed42,done_existing,42,target_only_low_label,HeatCapacity,0.25,1504,6016,0,1504,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_HeatCapacity_r0p25_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_HeatCapacity_r0p25_seed42_train_visible_mask.npz,29.378446578979492,46.183204650878906,0.9332792162895203,5.590109825134277,0.05139955397473294,0.08080060032437036,916,0.054409209638834,0.08418024331331253,0.9274677634239197
sparse_label_seed42_multitask_transfer_HeatCapacity_r0p25_seed42,done_existing,42,multitask_transfer,HeatCapacity,0.25,1504,6016,29485,30989,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_HeatCapacity_r0p25_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_HeatCapacity_r0p25_seed42_train_visible_mask.npz,41.090877532958984,66.80995178222656,0.8603710532188416,7.8718581199646,0.07189123400199304,0.11688847173890107,916,0.07894609868526459,0.13196365535259247,0.8217540979385376
sparse_label_seed42_target_only_low_label_HeatCapacity_r0p5_seed42,done_existing,42,target_only_low_label,HeatCapacity,0.5,3008,6016,0,3008,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_HeatCapacity_r0p5_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_HeatCapacity_r0p5_seed42_train_visible_mask.npz,32.114830017089844,54.43560791015625,0.9073043465614319,5.734776496887207,0.056187039516032926,0.0952387308635795,916,0.05576943978667259,0.09536908566951752,0.9069050550460815
sparse_label_seed42_multitask_transfer_HeatCapacity_r0p5_seed42,done_existing,42,multitask_transfer,HeatCapacity,0.5,3008,6016,29485,32493,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_multitask_transfer_HeatCapacity_r0p5_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_multitask_transfer_HeatCapacity_r0p5_seed42_train_visible_mask.npz,38.41423416137695,57.127052307128906,0.897911548614502,6.7973246574401855,0.06720826769610333,0.09994759255169786,916,0.06616353988647461,0.09255333989858627,0.9123210906982422
sparse_label_seed42_target_only_low_label_SurfaceTension_r0p1_seed42,done_existing,42,target_only_low_label,SurfaceTension,0.1,370,3697,0,370,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/configs/sparse_label_seed42_target_only_low_label_SurfaceTension_r0p1_seed42.yaml,/root/autodl-tmp/Sparse-Label-Prediction/il_property_prediction/outputs/sparse_label_multitask/masks/sparse_label_seed42_target_only_low_label_SurfaceTension_r0p1_seed42_train_visible_mask.npz,0.003629126586019993,0.0054597253911197186,0.5538448691368103,10.16585922241211,0.09818760083344731,0.1477152490157164,706,0.09688378125429153,0.14587625861167908,0.5665947794914246
