il_identity_key,molar_mass_g_mol,condition_adjusted_response,analysis_panel
C(C)N1C=[N+](C=C1)CC||C(C)OS(=O)(=O)[O-],250.31998753547668,-0.0267721033377847,"Molar $C_{p,m}$"
C(C)N1C=[N+](C=C1)C||C(C)OP(=O)(OCC)[O-],264.26199078559875,0.0798615888204503,"Molar $C_{p,m}$"
C(C)N1C=[N+](C=C1)C||C(C)OS(=O)(=O)[O-],236.2930029630661,-0.0836723075914762,"Molar $C_{p,m}$"
C(C)N1C=[N+](C=C1)C||COCCOCCOS(=O)(=O)[O-],310.371994972229,0.1862780823734722,"Molar $C_{p,m}$"
C(C)N1C=[N+](C=C1)C||COS(=O)(=O)[O-],222.26600348949432,-0.2078220683164655,"Molar $C_{p,m}$"
C(C)N1C=[N+](C=C1)C||S(=O)(=O)(O)[O-],208.23900401592252,-0.3540768885260101,"Molar $C_{p,m}$"
C(C)[N+](C)(C)CCO||C(C)OS(=O)(=O)[O-],243.32499504089355,-0.0542924368701376,"Molar $C_{p,m}$"
C(C)[N+]1=CN(C=C1)C||C(CCCCC)OS(=O)(=O)[O-],292.400985956192,0.1962702751622367,"Molar $C_{p,m}$"
C(CCC)N1C=[N+](C=C1)C||C(CCCCCCC)OS(=O)(=O)[O-],348.5090136528015,0.4159993636078329,"Molar $C_{p,m}$"
C(CCC)N1C=[N+](C=C1)C||COS(=O)(=O)[O-],250.31998753547668,-0.1328182543881197,"Molar $C_{p,m}$"
C(CCC)[P+](C)(CCCC)CCCC||COS(=O)(=O)[O-],328.4550011157989,-0.3897688709879796,"Molar $C_{p,m}$"
C=CC[N+](C)(C)CCn1cc[n+](C)c1||N#C[N-]C#N.N#C[N-]C#N,327.3960053920746,0.1042942856436175,"Molar $C_{p,m}$"
C=C[n+]1ccn(CC[N+](C)(C)CC=C)c1||N#C[N-]C#N.N#C[N-]C#N,339.4069969654083,0.1956068259680847,"Molar $C_{p,m}$"
C=Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1||N#C[N-]C#N,323.1579959392548,-0.3033330648988674,"Molar $C_{p,m}$"
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCn1cc[n+](C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,531.5409898757935,0.1401686795770924,"Molar $C_{p,m}$"
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1||O=C1[N-]S(=O)(=O)c2ccccc21,489.7260069847107,0.5826838159463565,"Molar $C_{p,m}$"
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1||[Br-],387.4500095844269,0.9734670575116704,"Molar $C_{p,m}$"
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1||[Cl-],342.99901127815247,0.8483039145576647,"Molar $C_{p,m}$"
CCCCCCCCCCCCCCCCn1cc[n+](C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,587.6929759979248,0.3285987620579398,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[N+](CC)(CC)CC||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,578.7259936332703,0.2480203402512284,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||CC(=O)[O-],542.9139733314514,0.0402054127982758,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,773.2899785041809,0.3831089393067866,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||CCCC(=O)[O-],570.967972278595,0.0557138598967954,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||CCCCCC(=O)[O-],599.0219712257385,0.086525192480428,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||CCCCCCCC(=O)[O-],627.0760297775269,0.1005967667586755,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||CCCCCCCCCC(=O)[O-],655.1300287246704,0.134774884588221,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,928.8740158081056,0.2893477907406483,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||N#C[N-]C#N,549.9129891395569,-0.0232875380013357,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,764.0169858932495,-0.1041978258094382,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC||[Cl-],519.3229913711548,0.1576255540619953,"Molar $C_{p,m}$"
CCCCCCCCCCCCCC[n+]1ccn(C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,559.6389770507812,0.2676503836748112,"Molar $C_{p,m}$"
CCCCCCCCCCCC[N+](CC)(CC)CC||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,550.6719946861267,0.1813654379457538,"Molar $C_{p,m}$"
CCCCCCCCCCCC[n+]1ccn(C)c1||F[P-](F)(F)(F)(F)F,396.4000046253204,0.4223951488988628,"Molar $C_{p,m}$"
CCCCCCCCCCCC[n+]1ccn(C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,531.5849781036377,0.2002113604984856,"Molar $C_{p,m}$"
CCCCCCCCCCCC[n+]1ccn(C)c1||[Cl-],286.89101338386536,0.4546906411122267,"Molar $C_{p,m}$"
CCCCCCCCCCCC[n+]1ccn(CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,685.837984085083,0.5071235984554621,"Molar $C_{p,m}$"
CCCCCCCCCCC[n+]1ccn(CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,671.8109846115112,0.4827780290405159,"Molar $C_{p,m}$"
CCCCCCCCCC[n+]1ccn(C)c1||CC(=O)[O-],282.42799639701843,0.2769936720139787,"Molar $C_{p,m}$"
CCCCCCCCCC[n+]1ccn(C)c1||F[P-](F)(F)(F)(F)F,368.3460056781769,0.3835223847917781,"Molar $C_{p,m}$"
CCCCCCCCCC[n+]1ccn(C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,503.5309791564941,0.1160491275579689,"Molar $C_{p,m}$"
CCCCCCCCCC[n+]1ccn(C)c1||[O-]c1ccccc1,316.48901104927063,0.19717510475175,"Molar $C_{p,m}$"
CCCCCCCCCC[n+]1ccn(CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,657.7839851379395,0.4440059183681528,"Molar $C_{p,m}$"
CCCCCCCCCCn1cc[n+](C)c1||O=C1[N-]S(=O)(=O)c2ccccc21,405.56401014328,0.4094098020970667,"Molar $C_{p,m}$"
CCCCCCCCC[n+]1ccn(C)c1||F[P-](F)(F)(F)(F)F,354.3190062046051,0.3365777647766723,"Molar $C_{p,m}$"
CCCCCCCCC[n+]1ccn(CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,643.7569856643677,0.4181741092940205,"Molar $C_{p,m}$"
CCCCCCCCCn1cc[n+](CCCCCCCCC)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,601.7199754714966,0.3691117253405505,"Molar $C_{p,m}$"
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC||CC(=O)[O-],427.75800824165344,0.5950188827598817,"Molar $C_{p,m}$"
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC||CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(=O)[O-],779.3769836425781,0.8636633343657074,"Molar $C_{p,m}$"
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC||CCCCCCCC/C=C\CCCCCCCC(=O)[O-],748.3630180358887,1.124354604804024,"Molar $C_{p,m}$"
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC||CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)[O-],823.4300017356873,1.1985218812779226,"Molar $C_{p,m}$"
CCCCCCCC[n+]1cccc(C)c1||F[B-](F)(F)F,293.15701127052307,0.1908982711413198,"Molar $C_{p,m}$"
CCCCCCCC[n+]1ccccc1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,472.47299551963806,0.0619738118518236,"Molar $C_{p,m}$"
CCCCCCCC[n+]1ccn(C)c1||F[P-](F)(F)(F)(F)F,340.2920067310333,0.2357112496584914,"Molar $C_{p,m}$"
CCCCCCCC[n+]1ccn(C)c1||N[C@@H](CO)C(=O)[O-],299.4149923324585,0.2434642780538243,"Molar $C_{p,m}$"
CCCCCCCC[n+]1ccn(C)c1||O=C([O-])[C@@H]1CCCN1,309.4539940357208,0.1881933408539122,"Molar $C_{p,m}$"
CCCCCCCC[n+]1ccn(C)c1||O=S(=O)([O-])C(F)(F)F,344.39900517463684,0.2880626157193537,"Molar $C_{p,m}$"
CCCCCCCC[n+]1ccn(CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1||O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,629.7299861907959,0.3906600877029573,"Molar $C_{p,m}$"
