IL_Name,row_count,
"N-ethyl-N-(2-hydroxyethyl)-N,N-dimethylammonium ethylsulfate",17,C(C)OS(=O)(=O)[O-].C(C)[N+](C)(C)CCO
1-butylimidazolium hydrogensulfate,16,S(=O)(=O)(O)[O-].C(CCC)N1C=[NH+]C=C1
1-methylimidazolium hydrogensulfate,16,S(=O)(=O)(O)[O-].CN1C=[NH+]C=C1
diethylammonium hydrogensulfate,16,S(=O)(=O)(O)[O-].C(C)[NH2+]CC
1-ethyl-3-methylimidazolium decylsulfate,15,C(CCCCCCCCC)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazol-3-ium) hydrogensulfate (1:2)",15,S(=O)(=O)(O)[O-].C(CCC[N+]1=CN(C=C1)C)[N+]1=CN(C=C1)C.S(=O)(=O)(O)[O-]
tris(2-hydroxyethyl)methylammonium methylsulfate,15,COS(=O)(=O)[O-].OCC[N+](C)(CCO)CCO
1-butyl-3-(2-cyanoethyl)-1H-imidazol-3-ium dodecylsulfate,13,C(CCCCCCCCCCC)OS(=O)(=O)[O-].C(CCC)N1C=[N+](C=C1)CCC#N
1-butyl-3-propanenitrileimidazolium dioctysulfosuccinate,13,
1-butyl-3-propanenitrileimidazolium trifluoromethanesulfonate,13,
1-decyl-3-propanenitrileimidazolium dioctysulfosuccinate,13,
3-(2-cyanoethyl)-1-hexyl-1H-imidazolium dodecylsulfate,13,C(CCCCCCCCCCC)OS(=O)(=O)[O-].C(#N)CC[N+]1=CN(C=C1)CCCCCC
N-butyronitrilepyridinium bis(trifluoromethanesulfonyl)imide,13,
1-butyl-3-methyl-1H-imidazolium ethylsulfate,12,C(C)OS(=O)(=O)[O-].C(CCC)N1C=[N+](C=C1)C
"1H-Imidazolium,3-butyl-1-methyl-, 1,1,2,3,3,3-hexafluoro-1-propanesulfonate(1:1)",12,
"1,3-dimethylpyridinium methylsulfate",11,COS(=O)(=O)[O-].C[N+]1=CC(=CC=C1)C
2-(5-chloro-2-((1-propylpyridinium-2-yl)oxy)pyridinium-1-yl)ethylsulfate tetrafluoroborate,11,F[B-](F)(F)F.ClC=1C=CC(=[N+](C1)CCOS(=O)(=O)[O-])OC1=[N+](C=CC=C1)CCC
2-ethyl-1-methylpyridinium methylsulfate,11,COS(=O)(=O)[O-].C(C)C1=[N+](C=CC=C1)C
1-hexyl-3-methylimidazolium dimethylphosphate,10,COP(=O)(OC)[O-].C(CCCCC)N1C=[N+](C=C1)C
1-methyl-3-octylimidazolium methylsulfate,10,COS(=O)(=O)[O-].CN1C=[N+](C=C1)CCCCCCCC
1-(2-cyanoethyl)imidazolium hydrogensulfate,9,S(=O)(=O)(O)[O-].C(#N)CCN1C=[NH+]C=C1
1-butylnicotinicacidbutylester bis[(trifluoromethyl)sulfonyl]imide,9,
"1,3-diethyl-1H-imidazol-3-ium diethylphosphate",8,C(C)OP(=O)(OCC)[O-].C(C)N1C=[N+](C=C1)CC
1-butyl-3-methylimidazolium dibutylphosphate,8,C(CCC)OP(=O)(OCCCC)[O-].C(CCC)N1C=[N+](C=C1)C
3-methyl-1-octylimidazolium trihydrogendiphosphate,8,OP(O)(=O)OP(=O)(O)[O-].C[N+]1=CN(C=C1)CCCCCCCC
"N,N-diethyl-N-methylethanaminium methylsulfate",8,COS(=O)(=O)[O-].C(C)[N+](CC)(C)CC
"N-ethyl-N,N-dimethyl-N-butylammonium ethylsulfate",8,C(C)OS(=O)(=O)[O-].C(C)[N+](CCCC)(C)C
triethylammonium hydrogensulfate,8,S(=O)(=O)(O)[O-].C(C)[NH+](CC)CC
1-hexyl-3-methylimidazolium ethylsulfate,7,C(C)OS(=O)(=O)[O-].C(CCCCC)N1C=[N+](C=C1)C
1-hexyl-3-methylimidazolium methylsulfate,7,COS(=O)(=O)[O-].C(CCCCC)N1C=[N+](C=C1)C
1-decyl-3-methylimidazolium trihydrogendiphosphate,6,OP(O)(=O)OP(=O)(O)[O-].C(CCCCCCCCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium hydrogenethylphosphonate,5,
"1-butanaminium N.N.N-tributyl-,saltwith2,4,6-trinitrophenol(1:1)",4,
1-methyl-3-octylimidazolium ethylsulfate,4,C(C)OS(=O)(=O)[O-].CN1C=[N+](C=C1)CCCCCCCC
ethylammonium hydrogensulfate,4,S(=O)(=O)(O)[O-].C(C)[NH3+]
trimethylammonium dihydrogenphosphate,4,P(=O)(O)(O)[O-].C[NH+](C)C
trimethylammonium hydrogensulfate,4,S(=O)(=O)(O)[O-].C[NH+](C)C
1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethylsulfate,3,COCCOCCOS(=O)(=O)[O-].CN1C=[N+](C=C1)CCCCCCCC
1-butyl-3-ethyl-1H-imidazol-3-ium diethylphosphate,2,C(C)OP(=O)(OCC)[O-].C(CCC)N1C=[N+](C=C1)CC
tetrabutylammonium dodecylsulfate,2,C(CCCCCCCCCCC)OS(=O)(=O)[O-].C(CCC)[N+](CCCC)(CCCC)CCCC
"1,1'-(butane-1,4-diyl)bis(3-methylimidazolium) imidazole-2-carboxylate(1:2)",1,N1C(=NC=C1)C(=O)[O-].C(CCCN1C=[N+](C=C1)C)N1C=[N+](C=C1)C.N1C(=NC=C1)C(=O)[O-]
1-butyl-3-ethylimidazolium ethylsulfate,1,C(C)OS(=O)(=O)[O-].C(CCC)N1C=[N+](C=C1)CC
1-butyl-3-methylimidazolium dodecylsulfate,1,C(CCCCCCCCCCC)OS(=O)(=O)[O-].C(CCC)N1C=[N+](C=C1)C
1-butyl-3-vinyl-1H-imidazol-3-ium L-histidinate,1,N[C@@H](CC1=CNC=N1)C(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C
1-butyl-3-vinyl-1H-imidazol-3-ium L-lysinate,1,N[C@@H](CCCCN)C(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C
1-butyl-3-vinyl-1H-imidazol-3-ium glycinate,1,NCC(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C
1-hexyl-3-methylimidazolium hydrogensulfate,1,S(=O)(=O)(O)[O-].C(CCCCC)N1C=[N+](C=C1)C
1-isopropyl-3-methylimidazolium hydrogencarbonate,1,C(O)([O-])=O.C(C)(C)N1C=[N+](C=C1)C
1-octyl-3-methylimidazolium hydrogensulfate,1,S(=O)(=O)(O)[O-].C(CCCCCCC)N1C=[N+](C=C1)C
tributylmethylammonium hydrogensulfate,1,S(=O)(=O)(O)[O-].C(CCC)[N+](C)(CCCC)CCCC
trihexylammonium hydrogensulfate,1,S(=O)(=O)(O)[O-].C(CCCCC)[NH+](CCCCCC)CCCCCC
