Names,Temperature,Pressure,ActualValue,ErrorValue,Name_clean,Cation,Anion,CationSMILES,AnionSMILES,SMILES,SMILES_status
ethylammonium nitrate,312.834,101.325,3.4858,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,312.935,101.325,3.4947,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.035,101.325,3.5041,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.135,101.325,3.5129,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.236,101.325,3.5214,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.335,101.325,3.5302,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.435,101.325,3.5388,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.535,101.325,3.5476,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.635,101.325,3.5562,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.735,101.325,3.5647,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.835,101.325,3.5735,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.935,101.325,3.5822,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,314.035,101.325,3.5907,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,314.134,101.325,3.5995,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,314.233,101.325,3.608,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,314.332,101.325,3.6167,0.014,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,314.432,101.325,3.6253,0.015,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,314.532,101.325,3.6341,0.015,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
