Names,Temperature,Pressure,ActualValue,ErrorValue,Name_clean,Cation,Anion,CationSMILES,AnionSMILES,SMILES,SMILES_status
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,288.15,101.325,0.1847,0.0036,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,293.15,101.325,0.1383,0.0023,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,298.15,101.325,0.1054,0.0015,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,303.15,101.325,0.0822,0.001,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,308.15,101.325,0.06533,0.00074,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,313.15,101.325,0.05301,0.00057,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,318.15,101.325,0.04322,0.00048,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,323.15,101.325,0.0359,0.0004,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,328.15,101.325,0.03018,0.00034,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,333.15,101.325,0.02564,0.00029,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,parsed;cation=unresolved;anion=unresolved
