sample_id,IL_Name,IL_SMILES,Temperature_K,Pressure_kPa,property,y_true,y_pred,absolute_error,split,split_strategy,split_short,panel,panel_title,plot_included
2668,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,303.15,101.325,ElectricalConductivity,0.335,0.36050496,0.025504947,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
1762,1-hexyl-4-methylpyridinium bis(trifluoromethanesulfonyl)imide,CCCCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,338.15,100.0,ElectricalConductivity,0.756,0.8111117,0.055111706,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
4365,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,325.65,101.325,ElectricalConductivity,0.88,0.8366348,0.04336518,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
2351,1-butoxy-3-butylimidazolium bromide,CCCCO[n+]1ccn(CCCC)c1.[Br-],300.15,101.325,ElectricalConductivity,0.31,0.25328034,0.05671966,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
4476,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,393.1,101.325,ElectricalConductivity,8.785,9.258072,0.47307205,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
2722,1-butylpyridinium phenyltrifluoroborate,CCCC[n+]1ccccc1.F[B-](F)(F)c1ccccc1,338.0,101.325,ElectricalConductivity,0.794,0.8194611,0.025461078,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
3414,1-butyl-3-methylimidazolium trifluoroacetate,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,308.15,101.325,ElectricalConductivity,0.5805,0.5552829,0.025217116,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
864,tetradecyl(trihexyl)phosphonium dicyanamide,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,213.0,101.325,ElectricalConductivity,1.0999995e-05,4.5131324e-06,6.4868623e-06,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
1030,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.0,100.0,ElectricalConductivity,0.09050001,0.0937882,0.003288187,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
3831,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(4-methoxyphenyl)borate,CCCCn1cc[n+](C)c1.c1cc(OC)ccc1[B-](F)(F)F,338.02,101.325,ElectricalConductivity,0.46400002,0.47657555,0.012575537,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
5478,N-butyronitrilepyridinium dicyanamide,N#CCCC[n+]1ccccc1.N#C[N-]C#N,303.0,101.325,ElectricalConductivity,0.971,0.8041763,0.16682374,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
3801,3-butyl-1-methylimidazolium benzoate,CCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1,313.15,101.325,ElectricalConductivity,0.037199996,0.038758244,0.001558248,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
404,1-ethyl-3-methylimidazolium acetate,CC(=O)[O-].CC[n+]1ccn(C)c1,358.15,101.0,ElectricalConductivity,2.5029998,2.7153344,0.21233463,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
1659,triethylheptylammonium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,312.85,101.325,ElectricalConductivity,0.18399997,0.16174997,0.022249997,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
2834,1-butyl-3-methylimidazolium tetrafluoroborate,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,278.15,101.0,ElectricalConductivity,0.11299999,0.106912546,0.0060874447,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
3980,2-methyl-1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,CCC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,101.325,ElectricalConductivity,0.74200004,0.7148697,0.027130365,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
937,trihexyltetradecylphosphonium heptadecafluorooctanesulfonate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,308.6,101.325,ElectricalConductivity,0.0012999999,0.0014047647,0.000104764826,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
3663,1-butyl-3-ethylimidazolium bromide,CCCC[n+]1ccn(CC)c1.[Br-],318.15,101.325,ElectricalConductivity,0.1951,0.12752916,0.067570835,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
3542,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,338.15,101.325,ElectricalConductivity,1.117,1.0339715,0.083028436,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
3927,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,293.15,100.0,ElectricalConductivity,0.318,0.31773555,0.000264436,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
2753,1-butylpyridinium trifluoromethanesulfonate,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,330.65,101.325,ElectricalConductivity,0.77300006,0.7616589,0.011341155,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
4745,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,293.15,101.0,ElectricalConductivity,0.75199986,0.7599802,0.007980347,test,Random point,Point,C,Electrical conductivity multi-split parity plot,True
