case_id,IL,Temperature_K,Pressure_kPa,mechanism,mean_gate_weight,property,gate_weight
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,packing,,Density,0.9815678596496582
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,cohesion,,Density,0.0
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,transport,,Density,0.018432147800922394
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,thermal,,Density,0.0
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,packing,,ElectricalConductivity,0.0
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,cohesion,,ElectricalConductivity,0.8220653533935547
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,transport,,ElectricalConductivity,0.1779346764087677
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,thermal,,ElectricalConductivity,0.0
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,packing,,HeatCapacity,0.0
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,cohesion,,HeatCapacity,0.0
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,transport,,HeatCapacity,0.35953983664512634
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,thermal,,HeatCapacity,0.6404601335525513
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,packing,,SurfaceTension,0.7680065631866455
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,cohesion,,SurfaceTension,0.2319933921098709
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,transport,,SurfaceTension,0.0
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,thermal,,SurfaceTension,0.0
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,packing,,ThermalConductivity,0.0909733846783638
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,cohesion,,ThermalConductivity,0.909026563167572
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,transport,,ThermalConductivity,0.0
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,thermal,,ThermalConductivity,0.0
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,packing,,Viscosity,0.0
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,cohesion,,Viscosity,0.6409230828285217
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,transport,,Viscosity,0.35907694697380066
BMIM_NTf2,[BMIM][NTf2],298.1499938964844,101.325,thermal,,Viscosity,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,packing,,Density,0.8712683320045471
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,cohesion,,Density,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,transport,,Density,0.12873168289661407
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,thermal,,Density,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,packing,,ElectricalConductivity,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,cohesion,,ElectricalConductivity,0.03139441832900047
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,transport,,ElectricalConductivity,0.9686055779457092
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,thermal,,ElectricalConductivity,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,packing,,HeatCapacity,0.22801850736141205
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,cohesion,,HeatCapacity,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,transport,,HeatCapacity,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,thermal,,HeatCapacity,0.7719814777374268
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,packing,,SurfaceTension,0.7312036156654358
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,cohesion,,SurfaceTension,0.2687964141368866
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,transport,,SurfaceTension,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,thermal,,SurfaceTension,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,packing,,ThermalConductivity,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,cohesion,,ThermalConductivity,0.12007132172584534
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,transport,,ThermalConductivity,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,thermal,,ThermalConductivity,0.8799286484718323
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,packing,,Viscosity,0.0
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,cohesion,,Viscosity,0.008658846840262413
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,transport,,Viscosity,0.9913411140441895
BMIM_BF4,[BMIM][BF4],298.1499938964844,101.325,thermal,,Viscosity,0.0
