case_id,IL,property_label,property,start_temperature_K,end_temperature_K,start_value_plot_units,end_value_plot_units,percent_change,direction,signed_log_percent
BMIM_NTf2,[BMIM][NTf2],Density,Density,298.1499938964844,398.1499938964844,1445.3370361328125,1353.7015380859375,-6.340078179416042,decrease,-0.8657006856256302
BMIM_NTf2,[BMIM][NTf2],Viscosity,Viscosity,298.1499938964844,398.1499938964844,49.2279194295406,4.178624600172,-91.5116774208733,decrease,-1.9661965556510301
BMIM_NTf2,[BMIM][NTf2],Electrical cond.,ElectricalConductivity,298.1499938964844,398.1499938964844,0.4372478425502777,3.406701803207397,679.123753553037,increase,2.832587942993308
BMIM_NTf2,[BMIM][NTf2],Heat capacity,HeatCapacity,298.1499938964844,398.1499938964844,560.6355590820312,617.8284912109375,10.201445698976414,increase,1.049274077899586
BMIM_NTf2,[BMIM][NTf2],Surface tension,SurfaceTension,298.1499938964844,398.1499938964844,33.271674066782,27.0082168281078,-18.82519414593434,decrease,-1.2972174490083106
BMIM_NTf2,[BMIM][NTf2],Thermal cond.,ThermalConductivity,298.1499938964844,398.1499938964844,0.1246819570660591,0.1229122355580329,-1.419388618586214,decrease,-0.3837056332862069
BMIM_BF4,[BMIM][BF4],Density,Density,298.1499938964844,398.1499938964844,1198.9552001953125,1141.25048828125,-4.812916437967179,decrease,-0.7643940799165478
BMIM_BF4,[BMIM][BF4],Viscosity,Viscosity,298.1499938964844,398.1499938964844,102.4000346660614,5.8988309465348,-94.23942485393528,decrease,-1.9788167640583734
BMIM_BF4,[BMIM][BF4],Electrical cond.,ElectricalConductivity,298.1499938964844,398.1499938964844,0.3256126046180725,5.093103885650635,1464.1605433624395,increase,3.165885214639861
BMIM_BF4,[BMIM][BF4],Heat capacity,HeatCapacity,298.1499938964844,398.1499938964844,371.099609375,404.7274475097656,9.061674355141761,increase,1.0026702573294648
BMIM_BF4,[BMIM][BF4],Surface tension,SurfaceTension,298.1499938964844,398.1499938964844,44.9353754520416,38.4647138416767,-14.39992777465691,decrease,-1.187518684009092
BMIM_BF4,[BMIM][BF4],Thermal cond.,ThermalConductivity,298.1499938964844,398.1499938964844,0.1692393869161605,0.1800905466079712,6.41172240666781,increase,0.8699191451975902
