IL,case_id,Temperature_K,Density_kg_m3
[BMIM][NTf2],BMIM_NTf2,298.1499938964844,1445.3370361328125
[BMIM][NTf2],BMIM_NTf2,308.1499938964844,1436.24169921875
[BMIM][NTf2],BMIM_NTf2,318.1499938964844,1427.7779541015625
[BMIM][NTf2],BMIM_NTf2,328.1499938964844,1418.748779296875
[BMIM][NTf2],BMIM_NTf2,338.1499938964844,1408.9599609375
[BMIM][NTf2],BMIM_NTf2,348.1499938964844,1398.56396484375
[BMIM][NTf2],BMIM_NTf2,358.1499938964844,1388.444091796875
[BMIM][NTf2],BMIM_NTf2,368.1499938964844,1379.167236328125
[BMIM][NTf2],BMIM_NTf2,378.1499938964844,1370.4425048828125
[BMIM][NTf2],BMIM_NTf2,388.1499938964844,1361.9761962890625
[BMIM][NTf2],BMIM_NTf2,398.1499938964844,1353.7015380859375
[BMIM][BF4],BMIM_BF4,298.1499938964844,1198.9552001953125
[BMIM][BF4],BMIM_BF4,308.1499938964844,1192.3160400390625
[BMIM][BF4],BMIM_BF4,318.1499938964844,1186.102783203125
[BMIM][BF4],BMIM_BF4,328.1499938964844,1179.201416015625
[BMIM][BF4],BMIM_BF4,338.1499938964844,1171.8232421875
[BMIM][BF4],BMIM_BF4,348.1499938964844,1165.22607421875
[BMIM][BF4],BMIM_BF4,358.1499938964844,1159.4874267578125
[BMIM][BF4],BMIM_BF4,368.1499938964844,1154.235107421875
[BMIM][BF4],BMIM_BF4,378.1499938964844,1149.4627685546875
[BMIM][BF4],BMIM_BF4,388.1499938964844,1145.1812744140625
[BMIM][BF4],BMIM_BF4,398.1499938964844,1141.25048828125
