property_label,property,unit,IL,case_id,Temperature_K,value,plot_value,scale,normalized_response
Density,Density,kg m$^{-3}$,[BMIM][NTf2],BMIM_NTf2,298.1499938964844,1445.3370361328125,1445.3370361328125,linear,1.0
Density,Density,kg m$^{-3}$,[BMIM][NTf2],BMIM_NTf2,308.1499938964844,1436.24169921875,1436.24169921875,linear,0.9700896439572121
Density,Density,kg m$^{-3}$,[BMIM][NTf2],BMIM_NTf2,318.1499938964844,1427.7779541015625,1427.7779541015625,linear,0.9422563011902081
Density,Density,kg m$^{-3}$,[BMIM][NTf2],BMIM_NTf2,328.1499938964844,1418.748779296875,1418.748779296875,linear,0.9125635217217292
Density,Density,kg m$^{-3}$,[BMIM][NTf2],BMIM_NTf2,338.1499938964844,1408.9599609375,1408.9599609375,linear,0.8803726259766358
Density,Density,kg m$^{-3}$,[BMIM][NTf2],BMIM_NTf2,348.1499938964844,1398.56396484375,1398.56396484375,linear,0.8461850035145441
Density,Density,kg m$^{-3}$,[BMIM][NTf2],BMIM_NTf2,358.1499938964844,1388.444091796875,1388.444091796875,linear,0.8129054220323177
Density,Density,kg m$^{-3}$,[BMIM][NTf2],BMIM_NTf2,368.1499938964844,1379.167236328125,1379.167236328125,linear,0.7823981354249587
Density,Density,kg m$^{-3}$,[BMIM][NTf2],BMIM_NTf2,378.1499938964844,1370.4425048828125,1370.4425048828125,linear,0.7537065293445365
Density,Density,kg m$^{-3}$,[BMIM][NTf2],BMIM_NTf2,388.1499938964844,1361.9761962890625,1361.9761962890625,linear,0.7258647564888601
Density,Density,kg m$^{-3}$,[BMIM][NTf2],BMIM_NTf2,398.1499938964844,1353.7015380859375,1353.7015380859375,linear,0.6986532331196507
Density,Density,kg m$^{-3}$,[BMIM][BF4],BMIM_BF4,298.1499938964844,1198.9552001953125,1198.9552001953125,linear,0.18976410604730404
Density,Density,kg m$^{-3}$,[BMIM][BF4],BMIM_BF4,308.1499938964844,1192.3160400390625,1192.3160400390625,linear,0.16793097925114317
Density,Density,kg m$^{-3}$,[BMIM][BF4],BMIM_BF4,318.1499938964844,1186.102783203125,1186.102783203125,linear,0.14749845147299742
Density,Density,kg m$^{-3}$,[BMIM][BF4],BMIM_BF4,328.1499938964844,1179.201416015625,1179.201416015625,linear,0.12480304703547904
Density,Density,kg m$^{-3}$,[BMIM][BF4],BMIM_BF4,338.1499938964844,1171.8232421875,1171.8232421875,linear,0.10053964610487753
Density,Density,kg m$^{-3}$,[BMIM][BF4],BMIM_BF4,348.1499938964844,1165.22607421875,1165.22607421875,linear,0.07884461218982794
Density,Density,kg m$^{-3}$,[BMIM][BF4],BMIM_BF4,358.1499938964844,1159.4874267578125,1159.4874267578125,linear,0.05997285511447458
Density,Density,kg m$^{-3}$,[BMIM][BF4],BMIM_BF4,368.1499938964844,1154.235107421875,1154.235107421875,linear,0.042700406290130735
Density,Density,kg m$^{-3}$,[BMIM][BF4],BMIM_BF4,378.1499938964844,1149.4627685546875,1149.4627685546875,linear,0.02700639121151213
Density,Density,kg m$^{-3}$,[BMIM][BF4],BMIM_BF4,388.1499938964844,1145.1812744140625,1145.1812744140625,linear,0.012926537397278367
Density,Density,kg m$^{-3}$,[BMIM][BF4],BMIM_BF4,398.1499938964844,1141.25048828125,1141.25048828125,linear,0.0
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,298.1499938964844,0.049227919429540634,49.227919429540634,log10,0.7710384825425255
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,308.1499938964844,0.03331148996949196,33.31148996949196,log10,0.6489471540970834
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,318.1499938964844,0.023887865245342255,23.887865245342255,log10,0.544995398063738
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,328.1499938964844,0.01759672537446022,17.59672537446022,log10,0.4494446447277318
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,338.1499938964844,0.013441607356071472,13.441607356071472,log10,0.36524148400710144
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,348.1499938964844,0.01060002576559782,10.60002576559782,log10,0.29099779801115705
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,358.1499938964844,0.008499279618263245,8.499279618263245,log10,0.22195072424621626
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,368.1499938964844,0.0069231088273227215,6.9231088273227215,log10,0.1578298784688481
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,378.1499938964844,0.005753678735345602,5.753678735345602,log10,0.0999896185569873
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,388.1499938964844,0.004870111588388681,4.870111588388681,log10,0.04787097634721999
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,398.1499938964844,0.004178624600172043,4.178624600172043,log10,0.0
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,298.1499938964844,0.1024000346660614,102.4000346660614,log10,1.0
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,308.1499938964844,0.06330892443656921,63.308924436569214,log10,0.8496795746248834
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,318.1499938964844,0.04183502867817879,41.83502867817879,log10,0.7201689067433451
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,328.1499938964844,0.028593817725777626,28.593817725777626,log10,0.6012083637091977
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,338.1499938964844,0.02057512104511261,20.57512104511261,log10,0.4983269366368907
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,348.1499938964844,0.015632830560207367,15.632830560207367,log10,0.4124508596173407
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,358.1499938964844,0.012277134694159031,12.277134694159031,log10,0.33691417785893324
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,368.1499938964844,0.009895311668515205,9.895311668515205,log10,0.26949188964258564
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,378.1499938964844,0.008172675035893917,8.172675035893917,log10,0.20970117846093445
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,388.1499938964844,0.0068926261737942696,6.89262617379427,log10,0.15645042153546296
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,398.1499938964844,0.005898830946534872,5.898830946534872,log10,0.10777814528442134
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][NTf2],BMIM_NTf2,298.1499938964844,0.4372478425502777,0.4372478425502777,log10,0.10719958870557535
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][NTf2],BMIM_NTf2,308.1499938964844,0.6074561476707458,0.6074561476707458,log10,0.22675873544579306
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][NTf2],BMIM_NTf2,318.1499938964844,0.8026585578918457,0.8026585578918457,log10,0.3280882180081029
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][NTf2],BMIM_NTf2,328.1499938964844,1.0346529483795166,1.0346529483795166,log10,0.4204147551107491
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][NTf2],BMIM_NTf2,338.1499938964844,1.3106070756912231,1.3106070756912231,log10,0.5063893126552133
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][NTf2],BMIM_NTf2,348.1499938964844,1.6186097860336304,1.6186097860336304,log10,0.5831464815637233
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][NTf2],BMIM_NTf2,358.1499938964844,1.955019235610962,1.955019235610962,log10,0.6518144505038407
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][NTf2],BMIM_NTf2,368.1499938964844,2.311150312423706,2.311150312423706,log10,0.7126687530762635
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][NTf2],BMIM_NTf2,378.1499938964844,2.6688804626464844,2.6688804626464844,log10,0.7650022603276034
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][NTf2],BMIM_NTf2,388.1499938964844,3.0281856060028076,3.0281856060028076,log10,0.8109322829216319
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][NTf2],BMIM_NTf2,398.1499938964844,3.4067018032073975,3.4067018032073975,log10,0.853762752165303
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][BF4],BMIM_BF4,298.1499938964844,0.3256126046180725,0.3256126046180725,log10,0.0
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][BF4],BMIM_BF4,308.1499938964844,0.5074469447135925,0.5074469447135925,log10,0.16134342006214777
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][BF4],BMIM_BF4,318.1499938964844,0.7418451905250549,0.7418451905250549,log10,0.29943704992120185
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][BF4],BMIM_BF4,328.1499938964844,1.0353854894638062,1.0353854894638062,log10,0.42067212708884894
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][BF4],BMIM_BF4,338.1499938964844,1.4005403518676758,1.4005403518676758,log10,0.5305235908597703
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][BF4],BMIM_BF4,348.1499938964844,1.82909095287323,1.82909095287323,log10,0.6276026232277641
Electrical cond.,ElectricalConductivity,S m$^{-1}$,[BMIM][BF4],BMIM_BF4,358.1499938964844,2.332333564758301,2.332333564758301,log10,0.7159866231520635
