IL,case_id,Temperature_K,ElectricalConductivity_S_m,Viscosity_Pa_s,Viscosity_mPa_s
[BMIM][NTf2],BMIM_NTf2,298.1499938964844,0.4372478425502777,0.049227919429540634,49.227919429540634
[BMIM][NTf2],BMIM_NTf2,308.1499938964844,0.6074561476707458,0.03331148996949196,33.31148996949196
[BMIM][NTf2],BMIM_NTf2,318.1499938964844,0.8026585578918457,0.023887865245342255,23.887865245342255
[BMIM][NTf2],BMIM_NTf2,328.1499938964844,1.0346529483795166,0.01759672537446022,17.59672537446022
[BMIM][NTf2],BMIM_NTf2,338.1499938964844,1.3106070756912231,0.013441607356071472,13.441607356071472
[BMIM][NTf2],BMIM_NTf2,348.1499938964844,1.6186097860336304,0.01060002576559782,10.60002576559782
[BMIM][NTf2],BMIM_NTf2,358.1499938964844,1.955019235610962,0.008499279618263245,8.499279618263245
[BMIM][NTf2],BMIM_NTf2,368.1499938964844,2.311150312423706,0.0069231088273227215,6.9231088273227215
[BMIM][NTf2],BMIM_NTf2,378.1499938964844,2.6688804626464844,0.005753678735345602,5.753678735345602
[BMIM][NTf2],BMIM_NTf2,388.1499938964844,3.0281856060028076,0.004870111588388681,4.870111588388681
[BMIM][NTf2],BMIM_NTf2,398.1499938964844,3.4067018032073975,0.004178624600172043,4.178624600172043
