bootstrap_iteration,hard_feasible_count,pareto_rank_1_count,formal_shortlist_count,top8_jaccard_to_nominal,formal_shortlist_ids,conductivity_min,viscosity_max,volumetric_heat_capacity_min,thermal_diffusivity_min
29,23,12,8,0.23076923076923078,UPR-0169;UPR-0289;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0558;UPR-0598,0.0735074952244758,0.1222724094986915,1894450.39578262,6.284874946327678e-08
30,26,12,8,0.6,UPR-0024;UPR-0290;UPR-0343;UPR-0359;UPR-0393;UPR-0419;UPR-0558;UPR-0581,0.070628261193633,0.13077344000339503,1873535.3857681993,6.183449076614008e-08
31,32,12,8,0.23076923076923078,UPR-0024;UPR-0064;UPR-0155;UPR-0280;UPR-0286;UPR-0322;UPR-0343;UPR-0419,0.13625182583928108,0.0887223035097122,1913728.5286252135,5.8998362854057676e-08
32,30,12,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.0920931473374366,0.13417083956301207,1898435.2229720124,6.078144406546419e-08
33,30,9,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0286;UPR-0322;UPR-0419;UPR-0581,0.14719728380441666,0.0942848920822143,1914373.896794905,6.009393423466764e-08
34,29,12,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.0735074952244758,0.13417083956301207,1874571.122046048,6.128334736241973e-08
35,33,8,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0322;UPR-0408;UPR-0419;UPR-0581,0.15077670291066167,0.10567549616098403,1886259.0710661025,6.153900446620928e-08
36,43,13,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0322;UPR-0408;UPR-0419;UPR-0581,0.07815390825271601,0.1381369829177856,1882200.3537641324,6.153900446620928e-08
37,29,12,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.07815390825271601,0.11887500993907446,1884930.795336305,6.262898311061963e-08
38,36,11,8,0.45454545454545453,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0322;UPR-0343;UPR-0419;UPR-0581,0.1245994940400123,0.10841831751167769,1880683.9810043082,6.134726163836712e-08
39,26,10,8,0.3333333333333333,UPR-0289;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0558;UPR-0581;UPR-0598,0.0735074952244758,0.1381369829177856,1880178.5234177,6.161209241986031e-08
40,22,10,8,0.3333333333333333,UPR-0024;UPR-0290;UPR-0359;UPR-0393;UPR-0556;UPR-0558;UPR-0581;UPR-0598,0.1917915493249893,0.1076248362660408,1913728.5286252135,6.039128751660567e-08
41,35,13,8,0.3333333333333333,UPR-0024;UPR-0284;UPR-0286;UPR-0318;UPR-0343;UPR-0419;UPR-0568;UPR-0581,0.1245994940400123,0.13050894625484938,1912710.8134821288,6.045520179255305e-08
42,46,17,8,0.06666666666666667,UPR-0020;UPR-0024;UPR-0066;UPR-0155;UPR-0280;UPR-0286;UPR-0322;UPR-0408,0.08628049492835993,0.13417083956301207,1898019.293410149,6.039128751660567e-08
43,28,12,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.1398312449455261,0.11887500993907446,1884930.795336305,6.262898311061963e-08
44,21,10,8,0.23076923076923078,UPR-0169;UPR-0343;UPR-0359;UPR-0419;UPR-0556;UPR-0558;UPR-0598;UPR-0604,0.0696685165166854,0.13417083956301207,1872701.9882554973,6.265973908359997e-08
45,36,11,8,0.3333333333333333,UPR-0024;UPR-0064;UPR-0155;UPR-0280;UPR-0322;UPR-0343;UPR-0419;UPR-0581,0.10021973401308053,0.1064689774066209,1886259.0710661025,6.153900446620928e-08
