candidate_id,cation_smiles,anion_smiles,canonical_cation_smiles,canonical_anion_smiles,cation_identity_key,anion_identity_key,canonical_il_key,cation_charge,anion_charge,cation_support_count,anion_support_count,charge_balance_pass,standard_inchikey_parse_pass,identity_new_to_benchmark,identity_new_to_primary_training_split,identity_audit_pass,generation_status,warnings
UPR-0119,CC[N+](C)(C)CCOC,Cc1ccc(S(=O)(=O)[O-])cc1,CC[N+](C)(C)CCOC,Cc1ccc(S(=O)(=O)[O-])cc1,KIJWMNYEVKNAGY-UHFFFAOYSA-N,JOXIMZWYDAKGHI-UHFFFAOYSA-M,KIJWMNYEVKNAGY-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,1,-1,5,6,True,True,True,True,True,retained,
UPR-0120,COCC[n+]1ccn(C)c1,O=[N+]([O-])c1cn[n-]c1,COCC[n+]1ccn(C)c1,O=[N+]([O-])c1cn[n-]c1,BYCVVPOEPZGGGL-UHFFFAOYSA-N,IDGLPDIIVPZHRB-UHFFFAOYSA-N,BYCVVPOEPZGGGL-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,1,-1,7,9,True,True,True,True,True,retained,
UPR-0121,C(CCC)[N+](CCCC)(CCCC)CCCC,O=C[O-],CCCC[N+](CCCC)(CCCC)CCCC,O=C[O-],DZLFLBLQUQXARW-UHFFFAOYSA-N,BDAGIHXWWSANSR-UHFFFAOYSA-M,DZLFLBLQUQXARW-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,1,-1,8,14,True,True,True,True,True,retained,
UPR-0122,CN1C=[N+](C=C1)C,NCC(=O)[O-],Cn1cc[n+](C)c1,NCC(=O)[O-],HVVRUQBMAZRKPJ-UHFFFAOYSA-N,DHMQDGOQFOQNFH-UHFFFAOYSA-M,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,1,-1,7,5,True,True,True,True,True,retained,
UPR-0123,C(C)[NH3+],N#C[B-](C#N)(C#N)C#N,CC[NH3+],N#C[B-](C#N)(C#N)C#N,QUSNBJAOOMFDIB-UHFFFAOYSA-O,KDCFMDHINPOTEA-UHFFFAOYSA-N,QUSNBJAOOMFDIB-UHFFFAOYSA-O||KDCFMDHINPOTEA-UHFFFAOYSA-N,1,-1,7,6,True,True,True,True,True,retained,
UPR-0124,C(CCC)[N+](C)(CCCC)CCCC,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCC[N+](C)(CCCC)CCCC,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,HJHUXWBTVVFLQI-UHFFFAOYSA-N,OXDZSRZJFHVGGS-UHFFFAOYSA-N,HJHUXWBTVVFLQI-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,1,-1,5,14,True,True,True,True,True,retained,
UPR-0125,CCCC[P+](CCCC)(CCCC)CCCC,N#C[S-],CCCC[P+](CCCC)(CCCC)CCCC,N#C[S-],BJQWBACJIAKDTJ-UHFFFAOYSA-N,ZMZDMBWJUHKJPS-UHFFFAOYSA-M,BJQWBACJIAKDTJ-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,1,-1,9,13,True,True,True,True,True,retained,
UPR-0126,C[n+]1ccn(CCCC#N)c1,[Cl-],C[n+]1ccn(CCCC#N)c1,[Cl-],SROUAIZIOIOQID-UHFFFAOYSA-N,VEXZGXHMUGYJMC-UHFFFAOYSA-M,SROUAIZIOIOQID-UHFFFAOYSA-N||VEXZGXHMUGYJMC-UHFFFAOYSA-M,1,-1,5,28,True,True,True,True,True,retained,
UPR-0127,C(CCC)[N+](C)(CCCC)CCCC,O=[N+]([O-])[O-],CCCC[N+](C)(CCCC)CCCC,O=[N+]([O-])[O-],HJHUXWBTVVFLQI-UHFFFAOYSA-N,NHNBFGGVMKEFGY-UHFFFAOYSA-N,HJHUXWBTVVFLQI-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,1,-1,5,12,True,True,True,True,True,retained,
UPR-0128,CCCC[P+](CCCC)(CCCC)CCCC,Cc1ccc(S(=O)(=O)[O-])cc1,CCCC[P+](CCCC)(CCCC)CCCC,Cc1ccc(S(=O)(=O)[O-])cc1,BJQWBACJIAKDTJ-UHFFFAOYSA-N,JOXIMZWYDAKGHI-UHFFFAOYSA-M,BJQWBACJIAKDTJ-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,1,-1,9,6,True,True,True,True,True,retained,
UPR-0129,COCC[n+]1ccn(C)c1,O=C[O-],COCC[n+]1ccn(C)c1,O=C[O-],BYCVVPOEPZGGGL-UHFFFAOYSA-N,BDAGIHXWWSANSR-UHFFFAOYSA-M,BYCVVPOEPZGGGL-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,1,-1,7,14,True,True,True,True,True,retained,
UPR-0130,C(CCC)[N+](C)(CCCC)CCCC,O=[N+]([O-])c1cn[n-]c1,CCCC[N+](C)(CCCC)CCCC,O=[N+]([O-])c1cn[n-]c1,HJHUXWBTVVFLQI-UHFFFAOYSA-N,IDGLPDIIVPZHRB-UHFFFAOYSA-N,HJHUXWBTVVFLQI-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,1,-1,5,9,True,True,True,True,True,retained,
UPR-0131,C[n+]1ccn(CCCC#N)c1,COS(=O)(=O)[O-],C[n+]1ccn(CCCC#N)c1,COS(=O)(=O)[O-],SROUAIZIOIOQID-UHFFFAOYSA-N,JZMJDSHXVKJFKW-UHFFFAOYSA-M,SROUAIZIOIOQID-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,1,-1,5,12,True,True,True,True,True,retained,
