scenario_id,conductivity_quantile,viscosity_quantile,heat_capacity_quantile,thermal_diffusivity_quantile,conductivity_threshold_S_m,viscosity_threshold_Pa_s,heat_capacity_threshold_J_m3_K,thermal_diffusivity_threshold_m2_s,hard_feasible_count,pareto_rank_1_count,final_candidate_count,is_nominal,final_set_Jaccard_to_nominal
S41,0.25,0.75,0.25,0.25,0.12721429206430906,0.10841831751167769,1894450.39578262,6.134726163836712e-08,26,12,8,True,1.0
S42,0.25,0.75,0.25,0.3,0.12721429206430906,0.10841831751167769,1894450.39578262,6.22805306543902e-08,26,12,8,False,1.0
S43,0.25,0.75,0.3,0.2,0.12721429206430906,0.10841831751167769,1908428.136329094,5.980178186650499e-08,27,12,8,False,0.7777777777777778
S44,0.25,0.75,0.3,0.25,0.12721429206430906,0.10841831751167769,1908428.136329094,6.134726163836712e-08,25,11,8,False,0.7777777777777778
S45,0.25,0.75,0.3,0.3,0.12721429206430906,0.10841831751167769,1908428.136329094,6.22805306543902e-08,25,11,8,False,0.7777777777777778
S46,0.25,0.8,0.2,0.2,0.12721429206430906,0.12544532418251036,1881795.987694846,5.980178186650499e-08,30,13,8,False,1.0
S47,0.25,0.8,0.2,0.25,0.12721429206430906,0.12544532418251036,1881795.987694846,6.134726163836712e-08,28,12,8,False,1.0
S48,0.25,0.8,0.2,0.3,0.12721429206430906,0.12544532418251036,1881795.987694846,6.22805306543902e-08,28,12,8,False,1.0
S49,0.25,0.8,0.25,0.2,0.12721429206430906,0.12544532418251036,1894450.39578262,5.980178186650499e-08,30,13,8,False,1.0
S50,0.25,0.8,0.25,0.25,0.12721429206430906,0.12544532418251036,1894450.39578262,6.134726163836712e-08,28,12,8,False,1.0
S51,0.25,0.8,0.25,0.3,0.12721429206430906,0.12544532418251036,1894450.39578262,6.22805306543902e-08,28,12,8,False,1.0
S52,0.25,0.8,0.3,0.2,0.12721429206430906,0.12544532418251036,1908428.136329094,5.980178186650499e-08,29,12,8,False,0.7777777777777778
S53,0.25,0.8,0.3,0.25,0.12721429206430906,0.12544532418251036,1908428.136329094,6.134726163836712e-08,27,11,8,False,0.7777777777777778
S54,0.25,0.8,0.3,0.3,0.12721429206430906,0.12544532418251036,1908428.136329094,6.22805306543902e-08,27,11,8,False,0.7777777777777778
S55,0.3,0.7,0.2,0.2,0.1383994773030281,0.1021666839718818,1881795.987694846,5.980178186650499e-08,28,13,8,False,1.0
S56,0.3,0.7,0.2,0.25,0.1383994773030281,0.1021666839718818,1881795.987694846,6.134726163836712e-08,26,12,8,False,1.0
S57,0.3,0.7,0.2,0.3,0.1383994773030281,0.1021666839718818,1881795.987694846,6.22805306543902e-08,26,12,8,False,1.0
S58,0.3,0.7,0.25,0.2,0.1383994773030281,0.1021666839718818,1894450.39578262,5.980178186650499e-08,28,13,8,False,1.0
S59,0.3,0.7,0.25,0.25,0.1383994773030281,0.1021666839718818,1894450.39578262,6.134726163836712e-08,26,12,8,False,1.0
S60,0.3,0.7,0.25,0.3,0.1383994773030281,0.1021666839718818,1894450.39578262,6.22805306543902e-08,26,12,8,False,1.0
S61,0.3,0.7,0.3,0.2,0.1383994773030281,0.1021666839718818,1908428.136329094,5.980178186650499e-08,27,12,8,False,0.7777777777777778
S62,0.3,0.7,0.3,0.25,0.1383994773030281,0.1021666839718818,1908428.136329094,6.134726163836712e-08,25,11,8,False,0.7777777777777778
S63,0.3,0.7,0.3,0.3,0.1383994773030281,0.1021666839718818,1908428.136329094,6.22805306543902e-08,25,11,8,False,0.7777777777777778
S64,0.3,0.75,0.2,0.2,0.1383994773030281,0.10841831751167769,1881795.987694846,5.980178186650499e-08,28,13,8,False,1.0
S65,0.3,0.75,0.2,0.25,0.1383994773030281,0.10841831751167769,1881795.987694846,6.134726163836712e-08,26,12,8,False,1.0
S66,0.3,0.75,0.2,0.3,0.1383994773030281,0.10841831751167769,1881795.987694846,6.22805306543902e-08,26,12,8,False,1.0
S67,0.3,0.75,0.25,0.2,0.1383994773030281,0.10841831751167769,1894450.39578262,5.980178186650499e-08,28,13,8,False,1.0
S68,0.3,0.75,0.25,0.25,0.1383994773030281,0.10841831751167769,1894450.39578262,6.134726163836712e-08,26,12,8,False,1.0
S69,0.3,0.75,0.25,0.3,0.1383994773030281,0.10841831751167769,1894450.39578262,6.22805306543902e-08,26,12,8,False,1.0
S70,0.3,0.75,0.3,0.2,0.1383994773030281,0.10841831751167769,1908428.136329094,5.980178186650499e-08,27,12,8,False,0.7777777777777778
S71,0.3,0.75,0.3,0.25,0.1383994773030281,0.10841831751167769,1908428.136329094,6.134726163836712e-08,25,11,8,False,0.7777777777777778
S72,0.3,0.75,0.3,0.3,0.1383994773030281,0.10841831751167769,1908428.136329094,6.22805306543902e-08,25,11,8,False,0.7777777777777778
S73,0.3,0.8,0.2,0.2,0.1383994773030281,0.12544532418251036,1881795.987694846,5.980178186650499e-08,30,13,8,False,1.0
S74,0.3,0.8,0.2,0.25,0.1383994773030281,0.12544532418251036,1881795.987694846,6.134726163836712e-08,28,12,8,False,1.0
S75,0.3,0.8,0.2,0.3,0.1383994773030281,0.12544532418251036,1881795.987694846,6.22805306543902e-08,28,12,8,False,1.0
S76,0.3,0.8,0.25,0.2,0.1383994773030281,0.12544532418251036,1894450.39578262,5.980178186650499e-08,30,13,8,False,1.0
S77,0.3,0.8,0.25,0.25,0.1383994773030281,0.12544532418251036,1894450.39578262,6.134726163836712e-08,28,12,8,False,1.0
S78,0.3,0.8,0.25,0.3,0.1383994773030281,0.12544532418251036,1894450.39578262,6.22805306543902e-08,28,12,8,False,1.0
S79,0.3,0.8,0.3,0.2,0.1383994773030281,0.12544532418251036,1908428.136329094,5.980178186650499e-08,29,12,8,False,0.7777777777777778
S80,0.3,0.8,0.3,0.25,0.1383994773030281,0.12544532418251036,1908428.136329094,6.134726163836712e-08,27,11,8,False,0.7777777777777778
S81,0.3,0.8,0.3,0.3,0.1383994773030281,0.12544532418251036,1908428.136329094,6.22805306543902e-08,27,11,8,False,0.7777777777777778
