scenario_id,conductivity_quantile,viscosity_quantile,heat_capacity_quantile,thermal_diffusivity_quantile,conductivity_threshold_S_m,viscosity_threshold_Pa_s,heat_capacity_threshold_J_m3_K,thermal_diffusivity_threshold_m2_s,hard_feasible_count,pareto_rank_1_count,final_candidate_count,is_nominal,final_set_Jaccard_to_nominal
S01,0.2,0.7,0.2,0.2,0.08837601691484447,0.1021666839718818,1881795.987694846,5.980178186650499e-08,28,13,8,False,1.0
S02,0.2,0.7,0.2,0.25,0.08837601691484447,0.1021666839718818,1881795.987694846,6.134726163836712e-08,26,12,8,False,1.0
S03,0.2,0.7,0.2,0.3,0.08837601691484447,0.1021666839718818,1881795.987694846,6.22805306543902e-08,26,12,8,False,1.0
S04,0.2,0.7,0.25,0.2,0.08837601691484447,0.1021666839718818,1894450.39578262,5.980178186650499e-08,28,13,8,False,1.0
S05,0.2,0.7,0.25,0.25,0.08837601691484447,0.1021666839718818,1894450.39578262,6.134726163836712e-08,26,12,8,False,1.0
S06,0.2,0.7,0.25,0.3,0.08837601691484447,0.1021666839718818,1894450.39578262,6.22805306543902e-08,26,12,8,False,1.0
S07,0.2,0.7,0.3,0.2,0.08837601691484447,0.1021666839718818,1908428.136329094,5.980178186650499e-08,27,12,8,False,0.7777777777777778
S08,0.2,0.7,0.3,0.25,0.08837601691484447,0.1021666839718818,1908428.136329094,6.134726163836712e-08,25,11,8,False,0.7777777777777778
S09,0.2,0.7,0.3,0.3,0.08837601691484447,0.1021666839718818,1908428.136329094,6.22805306543902e-08,25,11,8,False,0.7777777777777778
S10,0.2,0.75,0.2,0.2,0.08837601691484447,0.10841831751167769,1881795.987694846,5.980178186650499e-08,29,13,8,False,1.0
S11,0.2,0.75,0.2,0.25,0.08837601691484447,0.10841831751167769,1881795.987694846,6.134726163836712e-08,27,12,8,False,1.0
S12,0.2,0.75,0.2,0.3,0.08837601691484447,0.10841831751167769,1881795.987694846,6.22805306543902e-08,27,12,8,False,1.0
S13,0.2,0.75,0.25,0.2,0.08837601691484447,0.10841831751167769,1894450.39578262,5.980178186650499e-08,29,13,8,False,1.0
S14,0.2,0.75,0.25,0.25,0.08837601691484447,0.10841831751167769,1894450.39578262,6.134726163836712e-08,27,12,8,False,1.0
S15,0.2,0.75,0.25,0.3,0.08837601691484447,0.10841831751167769,1894450.39578262,6.22805306543902e-08,27,12,8,False,1.0
S16,0.2,0.75,0.3,0.2,0.08837601691484447,0.10841831751167769,1908428.136329094,5.980178186650499e-08,28,12,8,False,0.7777777777777778
S17,0.2,0.75,0.3,0.25,0.08837601691484447,0.10841831751167769,1908428.136329094,6.134726163836712e-08,26,11,8,False,0.7777777777777778
S18,0.2,0.75,0.3,0.3,0.08837601691484447,0.10841831751167769,1908428.136329094,6.22805306543902e-08,26,11,8,False,0.7777777777777778
S19,0.2,0.8,0.2,0.2,0.08837601691484447,0.12544532418251036,1881795.987694846,5.980178186650499e-08,31,13,8,False,1.0
S20,0.2,0.8,0.2,0.25,0.08837601691484447,0.12544532418251036,1881795.987694846,6.134726163836712e-08,29,12,8,False,1.0
S21,0.2,0.8,0.2,0.3,0.08837601691484447,0.12544532418251036,1881795.987694846,6.22805306543902e-08,29,12,8,False,1.0
S22,0.2,0.8,0.25,0.2,0.08837601691484447,0.12544532418251036,1894450.39578262,5.980178186650499e-08,31,13,8,False,1.0
S23,0.2,0.8,0.25,0.25,0.08837601691484447,0.12544532418251036,1894450.39578262,6.134726163836712e-08,29,12,8,False,1.0
S24,0.2,0.8,0.25,0.3,0.08837601691484447,0.12544532418251036,1894450.39578262,6.22805306543902e-08,29,12,8,False,1.0
S25,0.2,0.8,0.3,0.2,0.08837601691484447,0.12544532418251036,1908428.136329094,5.980178186650499e-08,30,12,8,False,0.7777777777777778
S26,0.2,0.8,0.3,0.25,0.08837601691484447,0.12544532418251036,1908428.136329094,6.134726163836712e-08,28,11,8,False,0.7777777777777778
S27,0.2,0.8,0.3,0.3,0.08837601691484447,0.12544532418251036,1908428.136329094,6.22805306543902e-08,28,11,8,False,0.7777777777777778
S28,0.25,0.7,0.2,0.2,0.12721429206430906,0.1021666839718818,1881795.987694846,5.980178186650499e-08,28,13,8,False,1.0
S29,0.25,0.7,0.2,0.25,0.12721429206430906,0.1021666839718818,1881795.987694846,6.134726163836712e-08,26,12,8,False,1.0
S30,0.25,0.7,0.2,0.3,0.12721429206430906,0.1021666839718818,1881795.987694846,6.22805306543902e-08,26,12,8,False,1.0
S31,0.25,0.7,0.25,0.2,0.12721429206430906,0.1021666839718818,1894450.39578262,5.980178186650499e-08,28,13,8,False,1.0
S32,0.25,0.7,0.25,0.25,0.12721429206430906,0.1021666839718818,1894450.39578262,6.134726163836712e-08,26,12,8,False,1.0
S33,0.25,0.7,0.25,0.3,0.12721429206430906,0.1021666839718818,1894450.39578262,6.22805306543902e-08,26,12,8,False,1.0
S34,0.25,0.7,0.3,0.2,0.12721429206430906,0.1021666839718818,1908428.136329094,5.980178186650499e-08,27,12,8,False,0.7777777777777778
S35,0.25,0.7,0.3,0.25,0.12721429206430906,0.1021666839718818,1908428.136329094,6.134726163836712e-08,25,11,8,False,0.7777777777777778
S36,0.25,0.7,0.3,0.3,0.12721429206430906,0.1021666839718818,1908428.136329094,6.22805306543902e-08,25,11,8,False,0.7777777777777778
S37,0.25,0.75,0.2,0.2,0.12721429206430906,0.10841831751167769,1881795.987694846,5.980178186650499e-08,28,13,8,False,1.0
S38,0.25,0.75,0.2,0.25,0.12721429206430906,0.10841831751167769,1881795.987694846,6.134726163836712e-08,26,12,8,False,1.0
S39,0.25,0.75,0.2,0.3,0.12721429206430906,0.10841831751167769,1881795.987694846,6.22805306543902e-08,26,12,8,False,1.0
S40,0.25,0.75,0.25,0.2,0.12721429206430906,0.10841831751167769,1894450.39578262,5.980178186650499e-08,28,13,8,False,1.0
