candidate_id,constraint,metric,value,threshold,constraint_direction,log2_margin,plot_log2_margin,margin_definition
UPR-0581,$\sigma_{\min}$,conductivity_worst,0.4703101217746734,0.12721429206430906,lower,1.886351620194385,1.886351620194385,log2(value/threshold)
UPR-0581,$\eta_{\max}$,viscosity_worst,0.0424629375338554,0.10841831751167769,upper,1.3523324400859285,1.3523324400859285,log2(threshold/value)
UPR-0581,"$C_{v,\min}$",volumetric_heat_capacity_worst,1987700.5882283424,1894450.39578262,lower,0.06932109202625494,0.06932109202625494,log2(value/threshold)
UPR-0581,$\alpha_{\min}$,thermal_diffusivity_worst,7.962069512115582e-08,6.134726163836712e-08,lower,0.37614451914582253,0.37614451914582253,log2(value/threshold)
UPR-0581,ST-envelope,surface_tension_reference_envelope_deviation_worst,0.3270997658714027,1.0,upper,1.6121973681058857,1.6121973681058857,log2(threshold/value)
UPR-0209,$\sigma_{\min}$,conductivity_worst,0.3501098752021789,0.12721429206430906,lower,1.4605469937263649,1.4605469937263649,log2(value/threshold)
UPR-0209,$\eta_{\max}$,viscosity_worst,0.0498433411121368,0.10841831751167769,upper,1.1211358399300781,1.1211358399300781,log2(threshold/value)
UPR-0209,"$C_{v,\min}$",volumetric_heat_capacity_worst,2093121.7139468929,1894450.39578262,lower,0.14387684113566995,0.14387684113566995,log2(value/threshold)
UPR-0209,$\alpha_{\min}$,thermal_diffusivity_worst,7.954059787232517e-08,6.134726163836712e-08,lower,0.3746924586446976,0.3746924586446976,log2(value/threshold)
UPR-0209,ST-envelope,surface_tension_reference_envelope_deviation_worst,0.8292950070103674,1.0,upper,0.2700426886534785,0.2700426886534785,log2(threshold/value)
UPR-0024,$\sigma_{\min}$,conductivity_worst,0.8047230839729309,0.12721429206430906,lower,2.6612316565920384,2.6612316565920384,log2(value/threshold)
UPR-0024,$\eta_{\max}$,viscosity_worst,0.0314063802361488,0.10841831751167769,upper,1.7874789448852022,1.7874789448852022,log2(threshold/value)
UPR-0024,"$C_{v,\min}$",volumetric_heat_capacity_worst,2204373.742057524,1894450.39578262,lower,0.21858948249808915,0.21858948249808915,log2(value/threshold)
UPR-0024,$\alpha_{\min}$,thermal_diffusivity_worst,6.298233710326331e-08,6.134726163836712e-08,lower,0.037948345301696045,0.037948345301696045,log2(value/threshold)
UPR-0024,ST-envelope,surface_tension_reference_envelope_deviation_worst,0.4687706553613787,1.0,upper,1.0930458337655689,1.0930458337655689,log2(threshold/value)
UPR-0393,$\sigma_{\min}$,conductivity_worst,0.5942276120185852,0.12721429206430906,lower,2.2237548832657277,2.2237548832657277,log2(value/threshold)
UPR-0393,$\eta_{\max}$,viscosity_worst,0.0385915860533714,0.10841831751167769,upper,1.4902502810619038,1.4902502810619038,log2(threshold/value)
UPR-0393,"$C_{v,\min}$",volumetric_heat_capacity_worst,1919996.7745177469,1894450.39578262,lower,0.019324522436318943,0.019324522436318943,log2(value/threshold)
UPR-0393,$\alpha_{\min}$,thermal_diffusivity_worst,8.22803128673855e-08,6.134726163836712e-08,lower,0.42354833200494046,0.42354833200494046,log2(value/threshold)
UPR-0393,ST-envelope,surface_tension_reference_envelope_deviation_worst,0.5811452901945787,1.0,upper,0.7830292027908696,0.7830292027908696,log2(threshold/value)
UPR-0343,$\sigma_{\min}$,conductivity_worst,0.1414703279733657,0.12721429206430906,lower,0.153238732236461,0.153238732236461,log2(value/threshold)
UPR-0343,$\eta_{\max}$,viscosity_worst,0.0042465236037969,0.10841831751167769,upper,4.674182444503486,4.0,log2(threshold/value)
UPR-0343,"$C_{v,\min}$",volumetric_heat_capacity_worst,2105731.049482962,1894450.39578262,lower,0.15254181776479853,0.15254181776479853,log2(value/threshold)
UPR-0343,$\alpha_{\min}$,thermal_diffusivity_worst,8.503565184527813e-08,6.134726163836712e-08,lower,0.47106888132108915,0.47106888132108915,log2(value/threshold)
UPR-0343,ST-envelope,surface_tension_reference_envelope_deviation_worst,0.0,1.0,upper,inf,4.0,log2(threshold/value)
UPR-0550,$\sigma_{\min}$,conductivity_worst,0.6521591544151306,0.12721429206430906,lower,2.357963324746765,2.357963324746765,log2(value/threshold)
UPR-0550,$\eta_{\max}$,viscosity_worst,0.0387077145278453,0.10841831751167769,upper,1.485915491509791,1.485915491509791,log2(threshold/value)
UPR-0550,"$C_{v,\min}$",volumetric_heat_capacity_worst,1908348.204176102,1894450.39578262,lower,0.01054506989422765,0.01054506989422765,log2(value/threshold)
UPR-0550,$\alpha_{\min}$,thermal_diffusivity_worst,8.245588314650776e-08,6.134726163836712e-08,lower,0.4266234845585178,0.4266234845585178,log2(value/threshold)
UPR-0550,ST-envelope,surface_tension_reference_envelope_deviation_worst,0.6055601126343052,1.0,upper,0.7236579146625507,0.7236579146625507,log2(threshold/value)
UPR-0419,$\sigma_{\min}$,conductivity_worst,0.181777536869049,0.12721429206430906,lower,0.5149131684477036,0.5149131684477036,log2(value/threshold)
UPR-0419,$\eta_{\max}$,viscosity_worst,0.0054973023943603,0.10841831751167769,upper,4.301740872540298,4.0,log2(threshold/value)
UPR-0419,"$C_{v,\min}$",volumetric_heat_capacity_worst,2402616.4626780967,1894450.39578262,lower,0.3428269999723193,0.3428269999723193,log2(value/threshold)
UPR-0419,$\alpha_{\min}$,thermal_diffusivity_worst,6.90508395832849e-08,6.134726163836712e-08,lower,0.17066000854146707,0.17066000854146707,log2(value/threshold)
UPR-0419,ST-envelope,surface_tension_reference_envelope_deviation_worst,0.0541174447556011,1.0,upper,4.2077624680776395,4.0,log2(threshold/value)
UPR-0558,$\sigma_{\min}$,conductivity_worst,0.3106776475906372,0.12721429206430906,lower,1.2881576859375634,1.2881576859375634,log2(value/threshold)
UPR-0558,$\eta_{\max}$,viscosity_worst,0.0637454614043235,0.10841831751167769,upper,0.7662139910739153,0.7662139910739153,log2(threshold/value)
UPR-0558,"$C_{v,\min}$",volumetric_heat_capacity_worst,2226125.0850864043,1894450.39578262,lower,0.23275529455122806,0.23275529455122806,log2(value/threshold)
UPR-0558,$\alpha_{\min}$,thermal_diffusivity_worst,6.734710547032936e-08,6.134726163836712e-08,lower,0.1346169933803884,0.1346169933803884,log2(value/threshold)
UPR-0558,ST-envelope,surface_tension_reference_envelope_deviation_worst,0.0,1.0,upper,inf,4.0,log2(threshold/value)
