candidate_id,canonical_il_key,nominal_pareto_rank_1,nominal_formal_shortlist,hard_feasible_frequency,pareto_rank_1_frequency,selection_frequency
UPR-0024,KIJWMNYEVKNAGY-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,True,True,0.708,0.708,0.706
UPR-0581,LSFWFJFDPRFPBK-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,True,True,0.778,0.778,0.704
UPR-0419,MCTWTZJPVLRJOU-UHFFFAOYSA-O||XBDQKXXYIPTUBI-UHFFFAOYSA-M,True,True,0.742,0.742,0.66
UPR-0343,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||XBDQKXXYIPTUBI-UHFFFAOYSA-M,True,True,0.742,0.742,0.602
UPR-0558,WVDDUSFOSWWJJH-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,True,True,0.984,0.638,0.576
UPR-0209,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,True,True,0.562,0.562,0.47
UPR-0598,HOMONHWYLOPSLL-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,True,False,1.0,0.654,0.38
UPR-0359,BYCVVPOEPZGGGL-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.992,0.43,0.374
UPR-0155,MCTWTZJPVLRJOU-UHFFFAOYSA-O||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.282,0.282,0.282
UPR-0322,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.274,0.274,0.274
UPR-0393,XUAXVBUVQVRIIQ-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,True,True,0.61,0.272,0.272
UPR-0290,FCZZZYZIQDHCIW-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.824,0.268,0.268
UPR-0286,KIJWMNYEVKNAGY-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.224,0.224,0.224
UPR-0550,JYARJXBHOOZQQD-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,True,True,0.434,0.198,0.198
UPR-0430,KIJWMNYEVKNAGY-UHFFFAOYSA-N||XBDQKXXYIPTUBI-UHFFFAOYSA-M,True,False,0.88,0.62,0.192
UPR-0556,WVDDUSFOSWWJJH-UHFFFAOYSA-N||ITMCEJHCFYSIIV-UHFFFAOYSA-M,True,False,0.958,0.612,0.184
UPR-0020,MCTWTZJPVLRJOU-UHFFFAOYSA-O||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.326,0.326,0.182
UPR-0604,HOMONHWYLOPSLL-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,1.0,0.222,0.172
UPR-0408,REACWASHYHDPSQ-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.378,0.378,0.164
UPR-0169,FCZZZYZIQDHCIW-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.942,0.184,0.158
UPR-0280,MCTWTZJPVLRJOU-UHFFFAOYSA-O||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.126,0.126,0.126
UPR-0064,MCTWTZJPVLRJOU-UHFFFAOYSA-O||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.314,0.314,0.114
UPR-0289,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.816,0.262,0.108
UPR-0284,WVDDUSFOSWWJJH-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.374,0.1,0.1
UPR-0318,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||ITMCEJHCFYSIIV-UHFFFAOYSA-M,False,False,0.346,0.064,0.064
UPR-0066,OIDIRWZVUWCCCO-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.072,0.072,0.062
UPR-0162,IXGKOODVBRRWQB-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,False,False,1.0,0.222,0.054
UPR-0079,FCZZZYZIQDHCIW-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,False,False,0.366,0.05,0.05
UPR-0568,WWVMHGUBIOZASN-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.254,0.048,0.048
UPR-0512,MXLZUALXSYVAIV-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.138,0.018,0.018
UPR-0177,IXGKOODVBRRWQB-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.038,0.024,0.016
UPR-0386,KIJWMNYEVKNAGY-UHFFFAOYSA-N||QTBSBXVTEAMEQO-UHFFFAOYSA-M,False,False,0.93,0.016,0.016
UPR-0132,HJHUXWBTVVFLQI-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.998,0.014,0.014
UPR-0158,KIJWMNYEVKNAGY-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.366,0.172,0.012
UPR-0321,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.014,0.014,0.012
UPR-0154,IXGKOODVBRRWQB-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.972,0.012,0.012
UPR-0093,BYCVVPOEPZGGGL-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,True,False,0.324,0.088,0.01
UPR-0340,DZLFLBLQUQXARW-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.81,0.016,0.01
UPR-0317,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.01,0.01,0.01
UPR-0542,JYARJXBHOOZQQD-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.014,0.01,0.01
UPR-0108,WWVMHGUBIOZASN-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.036,0.03,0.008
UPR-0223,QUSNBJAOOMFDIB-UHFFFAOYSA-O||ODGCEQLVLXJUCC-UHFFFAOYSA-N,False,False,0.008,0.008,0.008
