property,feature,structural_scope,data_type,analysis_weighting,n_records,n_unique_ils,n_cation_families,n_anion_families,partial_correlation,partial_p,model_partial_correlation,model_partial_p,family_consistency,family_comparison_count,bootstrap_ci_low,bootstrap_ci_high,selection_stability,eligibility_status,exclusion_reason,pressure_missing_records,pressure_availability_in_design,data_source_covariate,response_scale,fdr_scope,causal_interpretation,feature_cluster,unique_feature_values,fdr_q,model_fdr_q,effect_direction,selection_rank,main_figure_eligible,statistical_support,confidence_level,line_alpha,abs_effect,line_width_pt,property_order,evidence_family,signed_effect,interaction_category,attention_metric,low_group_mean,high_group_mean,high_minus_low,ci_excludes_zero,low_group_unique_ils,high_group_unique_ils,family_composition_total_variation,grouping_basis,interpretation_scope
SurfaceTension,cation_hetero_aromatic_atom,Cation,experimental,identity_balanced,780.0,252.0,5.0,8.0,0.5483913843066582,3.466539986796402e-21,0.6079225488076536,7.42026452207063e-27,0.9090909090909092,11.0,0.4288268178182576,0.6491443865109342,0.51,eligible,,780.0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_030,245.0,4.5426117743644524e-20,1.0854293917168434e-25,positive,3.0,True,True,Level C,0.56,0.5483913843066582,1.7290414762593151,4,identity_balanced_association,0.5483913843066582,,,,,,,,,,,
SurfaceTension,cation_longest_aliphatic_carbon_chain,Cation,experimental,identity_balanced,780.0,252.0,5.0,8.0,-0.5355355868765443,4.179295383384731e-20,-0.6589358150722928,9.219077090680091e-33,1.0,11.0,-0.6267819424530174,-0.4465032808231039,0.776,eligible,,780.0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_034,243.0,4.6942442788374935e-19,2.230307496168376e-31,negative,1.0,True,True,Level B,0.96,0.5355355868765443,1.7014015117845704,4,identity_balanced_association,-0.5355355868765443,,,,,,,,,,,
ThermalConductivity,anion_exact_molecular_weight_scaled,Anion,experimental,identity_balanced,123.0,60.0,4.0,8.0,-0.7022515993209817,4.036726296662087e-10,-0.7644421263574521,1.1815359922211977e-12,1.0,6.0,-0.8705062907699576,-0.3918808783204731,0.444,eligible,,0.0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_006,60.0,1.957994664254085e-09,5.587865707572431e-12,negative,2.0,True,True,Level C,0.56,0.7022515993209817,2.059840938540111,5,identity_balanced_association,-0.7022515993209817,,,,,,,,,,,
ThermalConductivity,anion_heavy_atom_count_scaled,Anion,experimental,identity_balanced,123.0,60.0,4.0,8.0,-0.6774603188496398,2.774180611947805e-09,-0.7350717199551147,2.275049443905566e-11,1.0,6.0,-0.848118008630025,-0.3410562961453197,0.636,eligible,,0.0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_011,60.0,1.2644634818225869e-08,9.869007587700696e-11,negative,1.0,True,True,Level C,0.56,0.6774603188496398,2.0065396855267252,5,identity_balanced_association,-0.6774603188496398,,,,,,,,,,,
ThermalConductivity,pair_cation_positive_anion_negative,Ion pair,experimental,identity_balanced,123.0,60.0,4.0,8.0,0.5635957567990576,2.7503305615586597e-06,0.5204404132614705,2.0221193813963676e-05,1.0,6.0,0.2353078922146841,0.742762214901128,0.33,eligible,,0.0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_031,60.0,9.35112390929944e-06,5.458854467374742e-05,positive,3.0,True,True,Level C,0.56,0.5635957567990576,1.7617308771179738,5,identity_balanced_association,0.5635957567990576,,,,,,,,,,,
Viscosity,cation_heavy_atom_count_scaled,Cation,experimental,identity_balanced,1770.0,535.0,4.0,8.0,0.3988644236160652,7.563355169992718e-22,0.3998715318867956,5.846206922426437e-22,1.0,12.0,0.3201744990369395,0.4760838329461593,0.518,eligible,,0.0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_044,523.0,1.0228687913429943e-20,5.9310712164616606e-21,positive,3.0,True,True,Level C,0.56,0.3988644236160652,1.4075585107745403,1,identity_balanced_association,0.3988644236160652,,,,,,,,,,,
Viscosity,pair_total_heavy_atom_count_scaled,Ion pair,experimental,identity_balanced,1770.0,535.0,4.0,8.0,0.4016869913370863,3.6668812409319073e-22,0.4329500262438432,7.48416749079279e-26,1.0,12.0,0.3170066249872714,0.4739038457632947,0.62,eligible,,0.0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_070,529.0,5.1254851123248216e-21,9.807377816059718e-25,positive,1.0,True,True,Level C,0.56,0.4016869913370863,1.4136270313747357,1,identity_balanced_association,0.4016869913370863,,,,,,,,,,,
Viscosity,cation_hetero_aromatic_atom,Cation,experimental,identity_balanced,1770.0,535.0,4.0,8.0,-0.403086152150987,2.5545736637944697e-22,-0.4560830352849567,7.670735331659547e-29,0.9166666666666666,12.0,-0.4830696087208272,-0.3303713136680097,0.576,eligible,,0.0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_035,512.0,3.6518791693789116e-21,1.556416943101244e-27,negative,2.0,True,True,Level B,0.96,0.403086152150987,1.416635227124622,1,identity_balanced_association,-0.403086152150987,,,,,,,,,,,
Density,,,,,,,,,,,,,,,0.0186397345809555,0.0297318481567046,,,,,,,,,,,,,,,,True,,,,0.0238009598005732,1.3506143655632132,0,shared_attention_contrast,0.0238009598005732,fluorine-containing pairs,attention_per_pair,0.0145666339411246,0.0383675937416978,0.0238009598005732,True,172.0,172.0,0.2325581395348837,unique-IL quartiles of condition-adjusted observed log-property residual,non-causal association with shared encoder attention; not interaction energy
Density,,,,,,,,,,,,,,,0.0046452096394325,0.0186016396475451,,,,,,,,,,,,,,,,True,,,,0.0112572997534225,0.9286719517010493,0,shared_attention_contrast,0.0112572997534225,sulfonyl-site-containing pairs,attention_per_pair,0.0208219313604579,0.0320792311138805,0.0112572997534225,True,172.0,172.0,0.2325581395348837,unique-IL quartiles of condition-adjusted observed log-property residual,non-causal association with shared encoder attention; not interaction energy
ElectricalConductivity,,,,,,,,,,,,,,,-0.0122712324716978,-0.0026784629416134,,,,,,,,,,,,,,,,True,,,,0.00746696876155,0.8011731672923843,2,shared_attention_contrast,-0.00746696876155,aromatic-contact pairs,attention_per_pair,0.00746696876155,0.0,-0.00746696876155,True,60.0,60.0,0.3333333333333334,unique-IL quartiles of condition-adjusted observed log-property residual,non-causal association with shared encoder attention; not interaction energy
HeatCapacity,,,,,,,,,,,,,,,0.0181385757542162,0.1005283589070697,,,,,,,,,,,,,,,,True,,,,0.0613091273127861,2.612310447899601,3,shared_attention_contrast,0.0613091273127861,charge-complementary pairs,attention_per_pair,0.4006916669742116,0.4620007942869978,0.0613091273127861,True,53.0,53.0,0.3584905660377359,unique-IL quartiles of condition-adjusted observed log-property residual,non-causal association with shared encoder attention; not interaction energy
HeatCapacity,,,,,,,,,,,,,,,-0.0753059472020971,-0.0287839425243854,,,,,,,,,,,,,,,,True,,,,0.0516594224760845,2.2877146172927167,3,shared_attention_contrast,-0.0516594224760845,other atom pairs,attention_per_pair,0.1038916220520274,0.0522321995759429,-0.0516594224760845,True,53.0,53.0,0.3584905660377359,unique-IL quartiles of condition-adjusted observed log-property residual,non-causal association with shared encoder attention; not interaction energy
HeatCapacity,,,,,,,,,,,,,,,-0.0290696562759859,-0.001003111492983,,,,,,,,,,,,,,,,True,,,,0.0145780977634888,1.040376631439586,3,shared_attention_contrast,-0.0145780977634888,H-bond-compatible pairs,attention_per_pair,0.0186866117676474,0.0041085140041585,-0.0145780977634888,True,53.0,53.0,0.3584905660377359,unique-IL quartiles of condition-adjusted observed log-property residual,non-causal association with shared encoder attention; not interaction energy
Viscosity,,,,,,,,,,,,,,,-0.0993996158291277,-0.0303643454336081,,,,,,,,,,,,,,,,True,,,,0.0639159947314136,2.7,1,shared_attention_contrast,-0.0639159947314136,alkyl-carbon--anion-polar-site pairs,attention_per_pair,0.2556565461911039,0.1917405514596903,-0.0639159947314136,True,134.0,134.0,0.2611940298507462,unique-IL quartiles of condition-adjusted observed log-property residual,non-causal association with shared encoder attention; not interaction energy
Viscosity,,,,,,,,,,,,,,,-0.0449942224976544,-0.0153663909436182,,,,,,,,,,,,,,,,True,,,,0.0294883597784133,1.5419265715883261,1,shared_attention_contrast,-0.0294883597784133,other atom pairs,attention_per_pair,0.0865274361377805,0.0570390763593671,-0.0294883597784133,True,134.0,134.0,0.2611940298507462,unique-IL quartiles of condition-adjusted observed log-property residual,non-causal association with shared encoder attention; not interaction energy
Viscosity,,,,,,,,,,,,,,,-0.052801573696654,-0.0026311200116781,,,,,,,,,,,,,,,,True,,,,0.0269256522579288,1.4557224658367856,1,shared_attention_contrast,-0.0269256522579288,high-charge-magnitude pairs,attention_per_pair,0.3027430680609866,0.2758174158030577,-0.0269256522579288,True,134.0,134.0,0.2611940298507462,unique-IL quartiles of condition-adjusted observed log-property residual,non-causal association with shared encoder attention; not interaction energy
